"Class","Manufacturer","carline name","displ","cyl","trans","drv","bidx","cty","hwy","cmb","ucty","uhwy","ucmb","fl","G","T","S","2pv","2lv","4pv","4lv","hpv","hlv","fcost","eng dscr","trans dscr","vpc","cls"
"SPEC PURP VEH - S.U.V. - 2WD","TOYOTA","RAV4 2WD",2,4,"Auto(L4)","F",15,24,29,26,26.3,37,30.23,"R",,,,,,,,,,866,,"CLKUP",4,22
"SPEC PURP VEH - S.U.V. - 2WD","TOYOTA","RAV4 2WD",2,4,"Manual(M5)","F",15,25,31,27,27.6,39.4,31.9,"R",,,,,,,,,,832,,,4,22
"SPEC PURP VEH - S.U.V. - 2WD","TOYOTA","SEQUOIA 2WD",4.7,8,"Auto(L4)","R",10,14,18,16,15.8,23.1,18.42,"R",,,,,,,,,,1406,,"CLKUP",4,22
"SPEC PURP VEH - S.U.V. - 4WD","ACURA","MDX",3.5,6,"Auto(L5)",4,120,17,23,19,19.04,29.38,22.62,"P",,,,,,,,,,1302,,,4,23
"SPEC PURP VEH - S.U.V. - 4WD","AUDI","ALLROAD",2.7,6,"Auto(L5)",4,17,15,21,17,16.99,26.35,20.22,"P",,"T",,,,,,,,1455,,"CLKUP",5,23
"SPEC PURP VEH - S.U.V. - 4WD","AUDI","ALLROAD",2.7,6,"Manual(M6)",4,17,16,21,18,17.6,26.7,20.79,"P",,"T",,,,,,,,1376,,,5,23
"SPEC PURP VEH - S.U.V. - 4WD","BMW","X5",3,6,"Manual(M5)",4,31,15,21,17,17.04,26.55,20.31,"P",,,,,,,,,,1455,,,4,23
"SPEC PURP VEH - S.U.V. - 4WD","BMW","X5",3,6,"Auto(S5)",4,31,15,21,17,16.9,26.6,20.22,"P",,,,,,,,,,1455,,"3MODE",4,23
"SPEC PURP VEH - S.U.V. - 4WD","BMW","X5",4.4,8,"Auto(L5)",4,45,13,17,15,14.83,22.26,17.45,"P",,,,,,,,,,1651,,"3MODE",4,23
"SPEC PURP VEH - S.U.V. - 4WD","BMW","X5 4.6IS",4.6,8,"Auto(S5)",4,47,12,17,14,13.7,21.58,16.39,"P",,,,,,,,,,1767,,"3MODE",4,23
"SPEC PURP VEH - S.U.V. - 4WD","BUICK","RENDEZVOUS AWD",3.4,6,"Auto(L4)",4,108,18,24,20,19.8,30.7,23.57,"R",,,,,,,,,,1125,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","CADILLAC","ESCALADE AWD",6,8,"Auto(L4)",4,805,12,15,13,12.8,19.1,15.03,"R",,,,,,,,,,1730,,,2,23
"SPEC PURP VEH - S.U.V. - 4WD","CADILLAC","ESCALADE EXT AWD",6,8,"Auto(L4)",4,805,12,15,13,12.8,19.1,15.03,"R",,,,,,,,,,1730,,,2,23
"SPEC PURP VEH - S.U.V. - 4WD","CHEVROLET","BLAZER 4WD",4.3,6,"Auto(L4)",4,813,15,20,17,16.8,25.5,19.85,"R",,,,,,,,,,1323,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","CHEVROLET","BLAZER 4WD",4.3,6,"Manual(M5)",4,815,14,17,15,15.3,21.7,17.64,"R",,,,,,,,,,1501,,"SIL",2,23
"SPEC PURP VEH - S.U.V. - 4WD","CHEVROLET","K1500 AVALANCHE 4WD",5.3,8,"Auto(L4)",4,804,13,17,14,14.61,21.16,16.98,"R",,,,,,,,,,1606,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","CHEVROLET","K1500 SUBURBAN 4WD",5.3,8,"Auto(L4)",4,887,13,17,15,14.9,21.9,17.4,"R",,,,,,,,,,1501,"FFV","CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","CHEVROLET","K1500 SUBURBAN 4WD",5.3,8,"Auto(L4)",4,804,13,17,14,14.61,21.16,16.98,"R",,,,,,,,,,1606,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","CHEVROLET","K1500 TAHOE 4WD",5.3,8,"Auto(L4)",4,887,14,17,15,15.05,21.9,17.51,"R",,,,,,,,,,1501,"FFV","CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","CHEVROLET","K1500 TAHOE 4WD",4.8,8,"Auto(L4)",4,809,14,17,15,15.75,21.79,18,"R",,,,,,,,,,1501,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","CHEVROLET","K1500 TAHOE 4WD",5.3,8,"Auto(L4)",4,844,14,17,15,15.41,21.82,17.76,"R",,,,,,,,,,1501,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","CHEVROLET","TRACKER 4WD CONVERTIBLE",2,4,"Auto(L4)",4,103,22,25,23,24.9,32,27.66,"R",,,,,,,,,,979,,"2MODE 2LKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","CHEVROLET","TRACKER 4WD CONVERTIBLE",2,4,"Manual(M5)",4,101,23,25,24,25.2,32.1,27.9,"R",,,,,,,,,,938,,,4,23
"SPEC PURP VEH - S.U.V. - 4WD","CHEVROLET","TRACKER 4WD HARDTOP",2,4,"Auto(L4)",4,104,22,25,23,24.6,32.2,28.07,"R",,,,,,,,,,979,,"2MODE 2LKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","CHEVROLET","TRACKER 4WD HARDTOP",2,4,"Manual(M5)",4,102,22,25,23,24.6,32.4,27.59,"R",,,,,,,,,,979,,,4,23
"SPEC PURP VEH - S.U.V. - 4WD","CHEVROLET","TRACKER LT 4WD",2.5,6,"Auto(L4)",4,85,18,20,19,20,26.1,22.35,"R",,,,,,,,,,1184,,"2MODE 2LKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","CHEVROLET","TRACKER ZR2 4WD",2.5,6,"Auto(L4)","R",87,18,20,19,20.1,26.2,22.45,"R",,,,,,,,,,1184,,"2MODE 2LKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","CHEVROLET","TRACKER ZR2 4WD CONVERTIBLE",2,4,"Auto(L4)",4,113,22,25,23,24.3,32.1,27.28,"R",,,,,,,,,,979,,"2MODE 2LKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","CHEVROLET","TRACKER ZR2 4WD CONVERTIBLE",2,4,"Manual(M5)",4,111,23,25,24,25.4,32.4,28.14,"R",,,,,,,,,,938,,,4,23
"SPEC PURP VEH - S.U.V. - 4WD","CHEVROLET","TRAILBLAZER 4WD",4.2,6,"Auto(L4)",4,801,15,21,18,17.2,27.1,20.58,"R",,,,,,,,,,1251,,"CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","CHEVROLET","TRAILBLAZER EXT 4WD",4.2,6,"Auto(L4)",4,801,15,20,17,16.8,26.6,20.14,"R",,,,,,,,,,1323,,"CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","DODGE","DURANGO 4WD",4.7,8,"Auto(L4)",4,172,13,18,15,14.5,22.7,17.31,"R",,,,,,,,,,1501,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","DODGE","DURANGO 4WD",4.7,8,"Auto(L5)",4,172,13,17,15,14.9,22.3,17.52,"R",,,,,,,,,,1501,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","DODGE","DURANGO 4WD",5.9,8,"Auto(L4)",4,200,12,16,13,13.3,20.3,15.74,"R",,,,,,,,,,1730,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","FORD","ESCAPE 4WD",2,4,"Manual(M5)",4,620,22,25,23,24.2,31.8,27.12,"R",,,,,,,,,,979,,,4,23
"SPEC PURP VEH - S.U.V. - 4WD","FORD","ESCAPE 4WD",3,6,"Auto(L4)",4,626,18,23,20,20.1,29.9,23.58,"R",,,,,,,,,,1125,,"CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","FORD","EXPEDITION 4WD",4.6,8,"Auto(L4)",4,920,14,17,15,15.1,22.2,17.64,"R",,,,,,,,,,1501,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","FORD","EXPEDITION 4WD",5.4,8,"Auto(L4)",4,921,12,16,14,13.4,21,16.01,"R",,,,,,,,,,1606,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","FORD","EXPLORER 4WD",4,6,"Auto(L5)",4,902,15,20,17,16.5,25.4,19.59,"R",,,,,,,,,,1323,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","FORD","EXPLORER 4WD",4,6,"Manual(M5)",4,900,16,20,17,17.75,25.3,20.5,"R",,,,,,,,,,1323,"SOHC",,2,23
"SPEC PURP VEH - S.U.V. - 4WD","FORD","EXPLORER 4WD",4.6,8,"Auto(L5)",4,903,14,19,16,15.57,23.99,18.49,"R",,,,,,,,,,1406,"AWD","CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","FORD","EXPLORER FFV 4WD",4,6,"Auto(L5)",4,756,15,20,17,16.5,25.4,19.59,"R",,,,,,,,,,1323,"RNG=370","CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","FORD","EXPLORER FFV 4WD",4,6,"Auto(L5)",4,758,11,15,13,12.7,19.4,15.04,"E",,,,,,,,,,2826,"RNG=290","CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","FORD","EXPLORER SPORT 4WD",4,6,"Auto(L5)",4,753,15,20,17,16.5,25.4,19.59,"R",,,,,,,,,,1323,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","FORD","EXPLORER SPORT 4WD",4,6,"Manual(M5)",4,751,16,19,17,17.3,24.3,19.88,"R",,,,,,,,,,1323,"SOHC",,2,23
"SPEC PURP VEH - S.U.V. - 4WD","GMC","ENVOY 4WD",4.2,6,"Auto(L4)",4,801,15,21,17,16.8,26.6,20.14,"R",,,,,,,,,,1323,,"CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","GMC","ENVOY XL 4WD",4.2,6,"Auto(L4)",4,801,15,20,17,16.8,26.6,20.14,"R",,,,,,,,,,1323,,"CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","GMC","JIMMY 4WD",4.3,6,"Auto(L4)",4,813,15,20,17,16.8,25.5,19.85,"R",,,,,,,,,,1323,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","GMC","JIMMY 4WD",4.3,6,"Manual(M5)",4,815,14,17,15,15.3,21.7,17.64,"R",,,,,,,,,,1501,,"SIL",2,23
"SPEC PURP VEH - S.U.V. - 4WD","GMC","K1500 YUKON 4WD",5.3,8,"Auto(L4)",4,887,14,17,15,15.05,21.9,17.51,"R",,,,,,,,,,1501,"FFV","CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","GMC","K1500 YUKON 4WD",4.8,8,"Auto(L4)",4,809,14,17,15,15.75,21.79,18,"R",,,,,,,,,,1501,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","GMC","K1500 YUKON 4WD",5.3,8,"Auto(L4)",4,844,13,17,15,14.75,21.27,17.11,"R",,,,,,,,,,1501,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","GMC","K1500 YUKON DENALI AWD",6,8,"Auto(L4)",4,805,12,15,13,12.8,19.1,15.03,"R",,,,,,,,,,1730,,,2,23
"SPEC PURP VEH - S.U.V. - 4WD","GMC","K1500 YUKON DENALI XL AWD",6,8,"Auto(L4)",4,805,12,15,13,12.8,19.1,15.03,"R",,,,,,,,,,1730,,,2,23
"SPEC PURP VEH - S.U.V. - 4WD","GMC","K1500 YUKON XL 4WD",5.3,8,"Auto(L4)",4,887,13,17,15,14.9,21.9,17.4,"R",,,,,,,,,,1501,"FFV","CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","GMC","K1500 YUKON XL 4WD",5.3,8,"Auto(L4)",4,804,13,17,14,14.61,21.16,16.98,"R",,,,,,,,,,1606,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","HONDA","CR-V 4WD",2.4,4,"Auto(L4)",4,110,22,26,24,24.57,33.56,27.94,"R",,,,,,,,,,938,,"CLKUP",,23
"SPEC PURP VEH - S.U.V. - 4WD","HONDA","CR-V 4WD",2.4,4,"Manual(M5)",4,110,21,25,23,23.8,32,26.9,"R",,,,,,,,,,979,,,,23
"SPEC PURP VEH - S.U.V. - 4WD","HONDA","PASSPORT 4WD",3.2,6,"Auto(L4)",4,12,16,20,18,18.12,26.2,21.04,"R",,,,,,,,,,1251,"V-6","2MODE CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","HONDA","PASSPORT 4WD",3.2,6,"Manual(M5)",4,12,17,20,18,19.09,25.84,21.64,"R",,,,,,,,,,1251,"V-6","SIL",4,23
"SPEC PURP VEH - S.U.V. - 4WD","HYUNDAI","SANTAFE 4WD",2.7,6,"Auto(L4)","F",7,19,23,20,20.7,29.7,23.97,"R",,,,,,101,31,,,1125,,"2MODE CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","INFINITI","QX4 4WD",3.5,6,"Auto(L4)",4,95,15,18,16,16.58,23.43,19.09,"R",,,,,,,,,,1406,,"CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","ISUZU","AXIOM 4WD",3.5,6,"Auto(L4)","R",2,16,20,17,17.4,25.1,20.19,"R",,,,,,,,,,1323,"V-6","2MODE CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","ISUZU","RODEO 4WD",3.2,6,"Auto(L4)",4,6,16,20,18,18.12,26.2,21.04,"R",,,,,,,,,,1251,"V-6","2MODE CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","ISUZU","RODEO 4WD",3.2,6,"Manual(M5)",4,6,17,20,18,19.09,25.84,21.63,"R",,,,,,,,,,1251,"V-6","SIL",4,23
"SPEC PURP VEH - S.U.V. - 4WD","ISUZU","RODEO SPORT 4WD",3.2,6,"Auto(L4)",4,8,16,20,18,18.16,26.12,21.04,"R",,,,,,,,,,1251,"V-6","2MODE CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","ISUZU","RODEO SPORT 4WD",3.2,6,"Manual(M5)",4,8,17,20,18,19.04,25.8,21.59,"R",,,,,,,,,,1251,"V-6","SIL",4,23
"SPEC PURP VEH - S.U.V. - 4WD","ISUZU","TROOPER 4WD",3.5,6,"Auto(L4)",4,4,15,19,17,16.8,24.2,19.48,"R",,,,,,,,,,1323,"V-6","2MODE CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","ISUZU","TROOPER 4WD",3.5,6,"Manual(M5)",4,4,16,19,17,17.3,23.9,19.75,"R",,,,,,,,,,1323,"V-6","SIL",4,23
"SPEC PURP VEH - S.U.V. - 4WD","JEEP","GRAND CHEROKEE 4WD",4,6,"Auto(L4)",4,160,15,20,17,16.42,25.43,19.54,"R",,,,,,,,,,1323,,,2,23
"SPEC PURP VEH - S.U.V. - 4WD","JEEP","GRAND CHEROKEE 4WD",4.7,8,"Auto(L5)",4,172,14,19,15,15.1,23.8,18.07,"R",,,,,,,,,,1501,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","JEEP","LIBERTY 4WD",3.7,6,"Auto(L4)",4,130,16,20,17,17.7,25.1,20.41,"R",,,,,,,,,,1323,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","JEEP","WRANGLER 4WD",2.5,4,"Auto(L3)",4,110,16,18,17,17.9,23.7,20.12,"R",,,,,,,,,,1323,,,2,23
"SPEC PURP VEH - S.U.V. - 4WD","JEEP","WRANGLER 4WD",2.5,4,"Manual(M5)",4,110,18,20,19,20,26.2,22.38,"R",,,,,,,,,,1184,,"SIL",2,23
"SPEC PURP VEH - S.U.V. - 4WD","JEEP","WRANGLER 4WD",4,6,"Auto(L3)",4,160,15,17,16,16.6,22.1,18.69,"R",,,,,,,,,,1406,,,2,23
"SPEC PURP VEH - S.U.V. - 4WD","JEEP","WRANGLER 4WD",4,6,"Manual(M5)",4,160,15,18,16,16.7,23.3,19.14,"R",,,,,,,,,,1406,,"SIL",2,23
"SPEC PURP VEH - S.U.V. - 4WD","KIA","KIA SPORTAGE 4WD",2,4,"Auto(L4)",4,7,18,21,20,20.24,27.47,22.96,"R",,,,,,,,,,1125,,"2MODE CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","KIA","KIA SPORTAGE 4WD",2,4,"Manual(M5)",4,7,19,22,21,21.64,28.4,24.24,"R",,,,,,,,,,1071,,,4,23
"SPEC PURP VEH - S.U.V. - 4WD","LAND ROVER","FREELANDER",2.5,6,"Auto(L5)",4,999,17,21,18,18.85,26.37,21.62,"P",,,,,,,,,,1376,,"2MODE CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","LAND ROVER","LAND ROVER DISCOVERY SER II",4,8,"Auto(L4)",4,1,13,17,15,14.69,21.63,17.17,"P",,,,,,,,,,1651,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","LAND ROVER","RANGE ROVER",4.6,8,"Auto(L4)",4,2,12,15,13,13.28,19.24,15.43,"P",,,,,,,,,,1903,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","LEXUS","LX 470",4.7,8,"Auto(L4)",4,10,13,16,14,14.31,20.19,16.47,"R",,,,,,,,,,1606,,"2MODE CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","LINCOLN","NAVIGATOR 4WD",5.4,8,"Auto(L4)",4,910,12,16,13,12.8,20.2,15.33,"P",,,,,,,,,,1903,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","MAZDA","TRIBUTE",2,4,"Manual(M5)",4,990,22,25,23,24.2,31.8,27.12,"R",,,,,,,,,,979,,,4,23
"SPEC PURP VEH - S.U.V. - 4WD","MAZDA","TRIBUTE",3,6,"Auto(L4)",4,996,18,23,20,20.1,29.9,23.58,"R",,,,,,,,,,1125,,"CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","MERCEDES-BENZ","G500",5,8,"Auto(L5)",4,249,12,14,13,13.8,18.4,15.55,"P",,,,,,,,,,1903,,"EMS 2MODE CLKUP",3,23
"SPEC PURP VEH - S.U.V. - 4WD","MERCEDES-BENZ","ML320",3.2,6,"Auto(L5)",4,154,15,19,17,17.21,23.81,19.66,"P",,,,,,,,,,1455,,"EMS 2MODE CLKUP",3,23
"SPEC PURP VEH - S.U.V. - 4WD","MERCEDES-BENZ","ML500",5,8,"Auto(L5)",4,155,14,17,15,15.6,21.7,17.86,"P",,,,,,,,,,1651,,"EMS 2MODE CLKUP",3,23
"SPEC PURP VEH - S.U.V. - 4WD","MERCEDES-BENZ","ML55 AMG",5.5,8,"Auto(L5)",4,92,14,17,15,15.1,22.4,17.7,"P",,,,,,,,,,1651,,"EMS 2MODE CLKUP",3,23
"SPEC PURP VEH - S.U.V. - 4WD","MERCURY","MOUNTAINEER 4WD",4,6,"Auto(L5)",4,905,15,19,16,16.22,24.88,19.23,"R",,,,,,,,,,1406,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","MERCURY","MOUNTAINEER 4WD",4.6,8,"Auto(L5)",4,906,14,18,15,15.32,23.13,18.06,"R",,,,,,,,,,1501,"AWD","CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","MERCURY","MOUNTAINEER 4WD FFV",4,6,"Auto(L5)",4,761,15,20,17,16.5,25.4,19.59,"R",,,,,,,,,,1323,"RNG=370","CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","MERCURY","MOUNTAINEER 4WD FFV",4,6,"Auto(L5)",4,763,11,15,13,12.7,19.4,15.04,"E",,,,,,,,,,2826,"RNG=290","CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","MITSUBISHI","MONTERO",3.5,6,"Auto(L4)",4,96,15,19,17,17.2,23.88,19.68,"P",,,,,,,,,,1455,"SOHC","CMODE CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","MITSUBISHI","MONTERO",3.5,6,"Auto(S5)",4,96,14,19,16,15.72,24,18.61,"P",,,,,,,,,,1547,"SOHC","2MODE CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","MITSUBISHI","MONTERO SPORT 4WD",3,6,"Auto(L4)",4,93,17,20,18,18.96,25.7,21.49,"R",,,,,,,,,,1251,"SOHC","CMODE CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","MITSUBISHI","MONTERO SPORT 4WD",3.5,6,"Auto(L4)",4,95,16,18,17,17.49,23.16,19.65,"R",,,,,,,,,,1323,"SOHC","CMODE CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","MITSUBISHI","NATIVA 4WD(PUERTO RICO ONLY)",3,6,"Auto(L4)",4,93,17,20,18,18.96,25.7,21.49,"R",,,,,,,,,,1251,"SOHC","CMODE CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","NISSAN","PATHFINDER 4WD",3.5,6,"Auto(L4)",4,95,15,18,16,16.58,23.43,19.09,"R",,,,,,,,,,1406,,"CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","NISSAN","PATHFINDER 4WD",3.5,6,"Manual(M5)",4,95,16,18,17,18.1,23.3,20.12,"R",,,,,,,,,,1323,,,4,23
"SPEC PURP VEH - S.U.V. - 4WD","NISSAN","XTERRA V6-4WD",3.3,6,"Auto(L4)",4,91,15,19,17,17.2,24.5,19.86,"R",,,,,,,,,,1323,,"CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","NISSAN","XTERRA V6-4WD",3.3,6,"Auto(L4)",4,94,15,18,16,16.72,23.14,19.11,"P",,,"S",,,,,,,1547,,"CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","NISSAN","XTERRA V6-4WD",3.3,6,"Manual(M5)",4,91,16,18,17,18.3,23.7,20.39,"R",,,,,,,,,,1323,,,4,23
"SPEC PURP VEH - S.U.V. - 4WD","NISSAN","XTERRA V6-4WD",3.3,6,"Manual(M5)",4,94,15,18,16,16.58,23.5,19.11,"P",,,"S",,,,,,,1547,,,4,23
"SPEC PURP VEH - S.U.V. - 4WD","OLDSMOBILE","BRAVADA AWD",4.2,6,"Auto(L4)",4,801,15,21,17,16.8,26.6,20.14,"R",,,,,,,,,,1323,,"CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","PONTIAC","AZTEK AWD",3.4,6,"Auto(L4)",4,101,18,24,20,19.8,30.7,23.57,"R",,,,,,,,,,1125,,"CLKUP",2,23
"SPEC PURP VEH - S.U.V. - 4WD","SATURN","VUE AWD",2.2,4,"Auto(AV)",4,225,21,26,23,23.2,33.1,26.81,"R",,,,,,,,,,979,,"CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","SATURN","VUE AWD",3,6,"Auto(L4)",4,224,19,25,21,20.8,32,24.69,"R",,,,,,,,,,1071,,"CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","SUBARU","FORESTER AWD",2.5,4,"Auto(L4)",4,20,22,27,24,24.32,34.6,28.07,"R",,,,,,94,32,,,938,,"CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","SUBARU","FORESTER AWD",2.5,4,"Manual(M5)",4,20,21,27,23,23.3,34.48,27.28,"R",,,,,,94,32,,,979,,,4,23
"SPEC PURP VEH - S.U.V. - 4WD","SUZUKI","GRAND VITARA 4WD",2.5,6,"Auto(L4)",4,83,18,20,19,20.2,26.2,22.52,"R",,,,,,,,,,1184,,"2MODE 2LKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","SUZUKI","GRAND VITARA 4WD",2.5,6,"Manual(M5)",4,81,19,21,20,20.9,27.4,23.4,"R",,,,,,,,,,1125,,,4,23
"SPEC PURP VEH - S.U.V. - 4WD","SUZUKI","GRAND VITARA XL7 4WD",2.7,6,"Auto(L4)",4,92,17,20,18,18.8,25.15,21.21,"R",,,,,,,,,,1251,,"2MODE 2LKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","SUZUKI","GRAND VITARA XL7 4WD",2.7,6,"Manual(M5)",4,90,17,20,19,19.3,26.1,21.86,"R",,,,,,,,,,1184,,,4,23
"SPEC PURP VEH - S.U.V. - 4WD","SUZUKI","VITARA 2-DOOR 4WD",2,4,"Auto(L4)",4,123,22,25,23,24.6,32.2,27.52,"R",,,,,,,,,,979,,"2MODE 2LKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","SUZUKI","VITARA 2-DOOR 4WD",2,4,"Manual(M5)",4,121,22,25,23,24.6,32.4,27.17,"R",,,,,,,,,,979,,,4,23
"SPEC PURP VEH - S.U.V. - 4WD","SUZUKI","VITARA 4-DOOR 4WD",2,4,"Auto(L4)",4,124,22,25,23,24.6,32.2,27.52,"R",,,,,,,,,,979,,"2MODE 2LKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","SUZUKI","VITARA 4-DOOR 4WD",2,4,"Manual(M5)",4,122,22,25,23,24.6,32.4,27.17,"R",,,,,,,,,,979,,,4,23
"SPEC PURP VEH - S.U.V. - 4WD","TOYOTA","4RUNNER 4WD",3.4,6,"Auto(L4)",4,11,16,19,17,18.17,24.29,20.49,"R",,,,,,,,,,1323,,"2MODE CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","TOYOTA","HIGHLANDER 4WD",2.4,4,"Auto(L4)",4,21,19,24,21,21.5,30.3,24.73,"R",,,,,,,,,,1071,,"CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","TOYOTA","HIGHLANDER 4WD",3,6,"Auto(L4)",4,5,18,22,20,20,28.7,23.16,"R",,,,,,,,,,1125,,"CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","TOYOTA","LAND CRUISER WAGON 4WD",4.7,8,"Auto(L4)",4,10,13,16,14,14.31,20.19,16.47,"R",,,,,,,,,,1606,,"2MODE CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","TOYOTA","RAV4 4WD",2,4,"Auto(L4)",4,15,23,27,25,25.27,34.95,28.87,"R",,,,,,,,,,900,,"CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","TOYOTA","RAV4 4WD",2,4,"Manual(M5)",4,15,22,27,24,24.9,34.6,28.49,"R",,,,,,,,,,938,,,4,23
"SPEC PURP VEH - S.U.V. - 4WD","TOYOTA","SEQUOIA 4WD",4.7,8,"Auto(L4)",4,10,14,17,15,15.4,22,17.8,"R",,,,,,,,,,1501,,"CLKUP",4,23
"SPEC PURP VEH - S.U.V. - 4WD","VOLVO","V70 XC AWD",2.4,5,"Auto(S5)",4,7,19,25,22,21.6,32.65,25.48,"P",,"T",,,,,,98,36,1126,,"2MODE CLKUP",4,23
