"CLASS","MFR","CAR LINE","DISPLACEMENT","NUMB CYL","TRANS","DRIVE SYS","INDEX NUMB","CITY MPG (GUIDE)","HWY MPG (GUIDE)","COMB MPG (GUIDE)","UNRND CITY (EPA)","UNRND HWY (EPA)","UNRND COMP (EPA)","FUEL TYPE","GUZLR","TURBO","SPCHGR","AVG 2D PASS VOL","AVG 2D LUGG VOL","AVG 4D PAS VOL","AVG 4D LUGG VOL","AVG HB PAS VOL","AVG HB LUGG VOL","ANL FL CST","ENG BLK TXT","TRANS DESC TXT","VLVS PER CYL","CLS","5C CODE"
"SUBCOMPACT CARS","MAZDA","MAZDA RX-8",1.3,2,"Manual(M6)","R",8,18,24,20,20.4,30.2,23.89,"P",,,,,,89,8,,,2138," ",,0,3,
"SUBCOMPACT CARS","MAZDA","MAZDA RX-8",1.3,2,"Auto(S6)","R",8,18,25,21,20.19,32,24.21,"P",,,,,,89,8,,,2035," ","DC/FW",0,3,
"SUBCOMPACT CARS","MERCEDES-BENZ","CLK350",3.5,6,"Auto(L7)","R",28,19,28,22,21.3,35.5,25.98,"P",,,,82,10,,,,,1945," ","EMS 2MODE CLKUP",4,3,
"SUBCOMPACT CARS","MERCEDES-BENZ","CLK350 (CABRIOLET)",3.5,6,"Auto(L7)","R",29,19,28,22,21.2,35.4,25.87,"P",,,,81,9,,,,,1945," ","EMS 2MODE CLKUP",4,3,
"SUBCOMPACT CARS","MERCEDES-BENZ","CLK550",5.5,8,"Auto(L7)","R",31,16,23,19,18.3,30.1,22.22,"P","G",,,82,10,,,,,2249," ","EMS 2MODE CLKUP",4,3,
"SUBCOMPACT CARS","MERCEDES-BENZ","CLK550 (CABRIOLET)",5.5,8,"Auto(L7)","R",30,16,24,19,18,30.2,22,"P","G",,,81,9,,,,,2249," ","EMS 2MODE CLKUP",4,3,
"SUBCOMPACT CARS","MERCEDES-BENZ","CLK63 AMG (CABRIOLET)",6.2,8,"Auto(S7)","R",15,13,20,15,14.2,25.2,17.67,"P","G",,,81,9,,,,,2851," ","EMS 2MODE CLKUP",4,3,
"SUBCOMPACT CARS","MITSUBISHI","ECLIPSE",2.4,4,"Manual(M5)","F",21,23,30,26,25.16,38.64,29.85,"R",,,,,,,,82,16,1530,"SOHC",,4,3,
"SUBCOMPACT CARS","MITSUBISHI","ECLIPSE",2.4,4,"Auto(S4)","F",21,22,28,25,24.98,36.53,29.12,"R",,,,,,,,82,16,1590,"SOHC","2MODE CLKUP ",4,3,
"SUBCOMPACT CARS","MITSUBISHI","ECLIPSE",3.8,6,"Manual(M6)","F",22,18,27,21,19.82,34.42,24.49,"P",,,,,,,,82,16,2035,"SOHC",,4,3,
"SUBCOMPACT CARS","MITSUBISHI","ECLIPSE",3.8,6,"Auto(S5)","F",22,19,28,22,21.2,35.74,25.95,"P",,,,,,,,82,16,1945,"SOHC","2MODE CLKUP ",4,3,
"SUBCOMPACT CARS","PONTIAC","G5/PURSUIT",2.2,4,"Auto(L4)","F",128,24,32,27,26.18,40.67,31.18,"R",,,,,,,,,,1471," ","CLKUP ",4,3,
"SUBCOMPACT CARS","PONTIAC","G5/PURSUIT",2.2,4,"Manual(M5)","F",129,25,34,29,29.1,46.8,35.07,"R",,,,,,,,,,1371," ","SIL ",4,3,
"SUBCOMPACT CARS","PONTIAC","G5/PURSUIT",2.4,4,"Auto(L4)","F",130,24,32,27,27.9,41.1,32.61,"P",,,,,,,,,,1582," ","CLKUP ",4,3,
"SUBCOMPACT CARS","PONTIAC","G5/PURSUIT",2.4,4,"Manual(M5)","F",131,25,34,28,27.8,43.6,33.22,"P",,,,,,,,,,1526," ",,4,3,
"SUBCOMPACT CARS","ROUSH PERFORMANCE","ROUSH STAGE3 MUSTANG",4.6,8,"Manual(M5)","R",1,15,22,18,16.8,28.2,20.54,"P","G",,"S",85,13,,,,,2377," ","EMS ",3,3,
"SUBCOMPACT CARS","ROUSH PERFORMANCE","ROUSH STAGE3 MUSTANG COUPE",4.6,8,"Manual(M5)","R",2,16,22,18,18.1,28,21.52,"P","G",,"S",85,13,,,,,2377," ","EMS ",3,3,
"SUBCOMPACT CARS","SAAB","9-3 CONVERTIBLE",2,4,"Manual(M6)","F",156,20,29,24,22.7,37.3,27.55,"P",,"T",,82,12,,,,,1783," ",,4,3,
"SUBCOMPACT CARS","SAAB","9-3 CONVERTIBLE",2,4,"Auto(S5)","F",155,20,30,24,22.6,38.1,27.66,"P",,"T",,82,12,,,,,1783," ","CLKUP ",4,3,
"SUBCOMPACT CARS","SAAB","9-3 CONVERTIBLE",2.8,6,"Manual(M6)","F",160,18,28,21,19.8,36.1,24.85,"R",,"T",,82,12,,,,,1892," ",,4,3,
"SUBCOMPACT CARS","SAAB","9-3 CONVERTIBLE",2.8,6,"Auto(S6)","F",159,17,28,20,18.7,35.8,23.82,"R",,"T",,82,12,,,,,1988," ","3MODE CLKUP ",4,3,
"SUBCOMPACT CARS","SUBARU","IMPREZA AWD",2.5,4,"Auto(L4)",4,22,21,26,23,23,32.7,26.54,"P",,"T",,,,88,11,,,1860," ","CLKUP ",4,3,
"SUBCOMPACT CARS","SUBARU","IMPREZA AWD",2.5,4,"Auto(L4)",4,20,23,28,25,25.01,35.39,28.82,"R",,,,,,88,11,,,1590," ","CLKUP ",4,3,
"SUBCOMPACT CARS","SUBARU","IMPREZA AWD",2.5,4,"Manual(M5)",4,22,20,27,23,22.47,34.76,26.72,"P",,"T",,,,88,11,,,1860," ",,4,3,
"SUBCOMPACT CARS","SUBARU","IMPREZA AWD",2.5,4,"Manual(M5)",4,20,22,29,25,24.33,36.9,28.73,"R",,,,,,88,11,,,1590," ",,4,3,
"SUBCOMPACT CARS","SUBARU","IMPREZA AWD",2.5,4,"Manual(M6)",4,24,19,25,21,20.7,31.5,24.48,"P",,"T",,,,88,11,,,2035," ",,4,3,
"SUBCOMPACT CARS","TOYOTA","SCION TC",2.4,4,"Auto(L4)","F",5,23,31,26,26,40.2,30.91,"R",,,,,,,,85,13,1530," ","CLKUP ",4,3,
"SUBCOMPACT CARS","TOYOTA","SCION TC",2.4,4,"Manual(M5)","F",5,23,30,26,25.6,38.2,30.06,"R",,,,,,,,85,13,1530," ",,4,3,
"SUBCOMPACT CARS","TOYOTA","YARIS",1.5,4,"Auto(L4)","F",1,34,39,36,37.66,49.65,42.25,"R",,,,,,87,14,85,13,1105," ","CLKUP ",4,3,
"SUBCOMPACT CARS","TOYOTA","YARIS",1.5,4,"Manual(M5)","F",1,34,40,37,37.87,51.4,42.96,"R",,,,,,87,14,85,13,1073," ",,4,3,
"SUBCOMPACT CARS","VOLKSWAGEN","EOS",2,4,"Manual(M6)","F",2,23,32,27,26.03,40.84,31.1,"P",,"T",,91,16,,,,,1582," ",,4,3,
"SUBCOMPACT CARS","VOLKSWAGEN","EOS",2,4,"Auto(S6)","F",2,23,31,26,25.54,40.1,30.53,"P",,"T",,91,16,,,,,1646," ","3MODE CLKUP ",4,3,
"SUBCOMPACT CARS","VOLKSWAGEN","EOS",3.2,6,"Auto(S6)","F",19,22,29,24,24.2,37,28.66,"P",,,,91,16,,,,,1783," ","3MODE ",4,3,
"SUBCOMPACT CARS","VOLKSWAGEN","NEW BEETLE",2.5,5,"Manual(M5)","F",9,23,31,26,25.03,39.34,29.93,"R",,,,,,,,85,12,1530," ",,4,3,
"SUBCOMPACT CARS","VOLKSWAGEN","NEW BEETLE",2.5,5,"Auto(S6)","F",9,23,32,26,25.18,40.8,30.42,"R",,,,,,,,85,12,1530," ","3MODE CLKUP ",4,3,
"SUBCOMPACT CARS","VOLVO","C70 CONVERTIBLE",2.5,5,"Manual(M6)","F",3,21,29,24,23.1,37.7,27.98,"P",,"T",,84,13,,,,,1783," ",,4,3,
"SUBCOMPACT CARS","VOLVO","C70 CONVERTIBLE",2.5,5,"Auto(S5)","F",3,20,29,23,22.2,37.1,27.1,"P",,"T",,84,13,,,,,1860," ","2MODE CLKUP ",4,3,
"COMPACT CARS","ACURA","TSX",2.4,4,"Manual(M6)","F",17,22,30,25,24.2,38.5,29.06,"P",,,,,,91,13,,,1710," ",,4,4,
"COMPACT CARS","ACURA","TSX",2.4,4,"Auto(S5)","F",17,22,31,26,24.9,39.7,29.92,"P",,,,,,91,13,,,1646," ","2MODE CLKUP ",4,4,
"COMPACT CARS","AUDI","A4",2,4,"Auto(AV)","F",8,24,32,27,26.75,41.41,31.82,"P",,"T",,,,90,13,,,1582," ","3MODE ",4,4,
"COMPACT CARS","AUDI","A4",2,4,"Manual(M6)","F",8,23,34,27,25.6,43.6,31.44,"P",,"T",,,,90,13,,,1582," ",,4,4,
"COMPACT CARS","AUDI","A4",3.1,6,"Auto(AV)","F",12,21,29,24,23,37.56,27.86,"P",,,,,,90,13,,,1783," ","3MODE ",4,4,
"COMPACT CARS","AUDI","A4 QUATTRO",2,4,"Manual(M6)",4,8,22,31,25,24.6,39.4,29.6,"P",,"T",,,,90,13,,,1710," ",,4,4,
"COMPACT CARS","AUDI","A4 QUATTRO",2,4,"Auto(S6)",4,8,22,30,25,24.25,38.4,29.07,"P",,"T",,,,90,13,,,1710," ","3MODE CLKUP ",4,4,
"COMPACT CARS","AUDI","A4 QUATTRO",3.1,6,"Manual(M6)",4,12,17,27,21,19.2,34.2,23.92,"P",,,,,,90,13,,,2035," ",,4,4,
"COMPACT CARS","AUDI","A4 QUATTRO",3.1,6,"Auto(S6)",4,12,19,27,22,21.47,34.56,25.88,"P",,,,,,90,13,,,1945," ","3MODE CLKUP ",4,4,
"COMPACT CARS","AUDI","RS4",4.2,8,"Manual(M6)",4,6,14,21,17,15.5,27.3,19.24,"P","G",,,,,89,13,,,2514," ",,4,4,
"COMPACT CARS","AUDI","S4",4.2,8,"Manual(M6)",4,10,15,21,17,16.3,27.1,19.86,"P","G",,,,,90,13,,,2514," ",,5,4,
"COMPACT CARS","AUDI","S4",4.2,8,"Auto(S6)",4,10,15,23,18,17.02,29.09,20.93,"P","G",,,,,90,13,,,2377," ","3MODE CLKUP ",5,4,
"COMPACT CARS","BENTLEY","CONTINENTAL GT",6,12,"Auto(S6)",4,14,12,19,14,12.8,23.8,16.16,"P","G","T",,89,11,,,,,3052," ","3MODE CLKUP ",4,4,
"COMPACT CARS","BMW","328I",3,6,"Manual(M6)","R",30,20,30,24,22.56,38.8,27.79,"P",,,,,,93,12,,,1783," ",,4,4,
"COMPACT CARS","BMW","328I",3,6,"Auto(S6)","R",30,21,30,24,23.07,38.65,28.18,"P",,,,,,93,12,,,1783," ","3MODE CLKUP ",4,4,
"COMPACT CARS","BMW","328XI",3,6,"Manual(M6)",4,30,19,28,22,21.19,35.63,25.92,"P",,,,,,93,12,,,1945," ",,4,4,
"COMPACT CARS","BMW","328XI",3,6,"Auto(S6)",4,30,20,27,23,21.84,35.03,26.3,"P",,,,,,93,12,,,1860," ","3MODE CLKUP ",4,4,
"COMPACT CARS","BMW","335I",3,6,"Manual(M6)","R",35,19,28,22,21.21,36.54,26.14,"P",,"T",,,,93,12,,,1945," ",,4,4,
"COMPACT CARS","BMW","335I",3,6,"Auto(S6)","R",35,20,29,23,22.16,37.04,27.05,"P",,"T",,,,93,12,,,1860," ","3MODE CLKUP ",4,4,
"COMPACT CARS","BMW","335XI",3,6,"Manual(M6)",4,35,19,27,22,20.85,34.75,25.43,"P",,"T",,,,93,12,,,1945," ",,4,4,
"COMPACT CARS","BMW","335XI",3,6,"Auto(S6)",4,35,19,27,22,21.57,34.85,26.04,"P",,"T",,,,93,12,,,1945," ","3MODE CLKUP ",4,4,
"COMPACT CARS","CHEVROLET","AVEO",1.6,4,"Auto(A4)","F",2,26,34,29,28.8,44,34.1,"R",,,,,,91,12,,,1371," ","EMS ",,4,
"COMPACT CARS","CHEVROLET","AVEO",1.6,4,"Manual(M5)","F",2,27,37,30,29.5,47.1,35.46,"R",,,,,,91,12,,,1324," ","EMS ",,4,
"COMPACT CARS","CHEVROLET","OPTRA",2,4,"Auto(A4)","F",3,22,31,25,23.9,39.2,28.99,"R",,,,,,95,12,,,1590," ","EMS ",4,4,
"COMPACT CARS","CHEVROLET","OPTRA",2,4,"Manual(M5)","F",3,23,30,26,25.4,39.1,30.15,"R",,,,,,95,12,,,1530," ","EMS ",4,4,
"COMPACT CARS","CHEVROLET","OPTRA 5",2,4,"Auto(A4)","F",3,22,31,25,23.9,39.2,28.99,"R",,,,,,,,95,9,1590," ","EMS ",4,4,
"COMPACT CARS","CHEVROLET","OPTRA 5",2,4,"Manual(M5)","F",3,23,30,26,25.4,39.1,30.15,"R",,,,,,,,95,9,1530," ","EMS ",4,4,
"COMPACT CARS","CHRYSLER","PTCRUISER CONV/CABRIO",2.4,4,"Auto(L4)","F",100,19,26,23,23,34.1,26.95,"P",,"T",,,,,,,,1860," ","CLKUP ",4,4,
"COMPACT CARS","CHRYSLER","PTCRUISER CONV/CABRIO",2.4,4,"Auto(L4)","F",200,21,26,23,23.7,34.1,27.47,"R",,,,,,,,,,1729," ","CLKUP ",4,4,
"COMPACT CARS","CHRYSLER","PTCRUISER CONV/CABRIO",2.4,4,"Manual(M5)","F",100,21,27,23,25.2,34.9,28.8,"P",,"T",,,,,,,,1860," ",,4,4,
"COMPACT CARS","CHRYSLER","PTCRUISER CONV/CABRIO",2.4,4,"Manual(M5)","F",200,22,29,25,26.55,36.69,30.32,"R",,,,,,,,,,1590," ",,4,4,
"COMPACT CARS","DODGE","CALIBER",1.8,4,"Manual(M5)","F",800,28,32,29,30.69,40.63,34.49,"R",,,,,,,,,,1371," ",,4,4,
"COMPACT CARS","DODGE","CALIBER",2,4,"Auto(AV)","F",801,26,30,28,28.89,38,32.39,"R",,,,,,,,,,1419," ","VMODE CLKUP ",4,4,
"COMPACT CARS","DODGE","CALIBER",2,4,"Auto(AV)","F",858,26,30,28,28.89,38,32.39,"R",,,,,,,,,,1419," ","VMODE CLKUP ",4,4,
"COMPACT CARS","DODGE","CALIBER",2.4,4,"Auto(AV)","F",850,24,27,25,26.7,34.9,29.86,"R",,,,,,,,,,1590," ","CMODE VLKUP ",4,4,
"COMPACT CARS","DODGE","CALIBER",2.4,4,"Manual(M5)","F",853,26,31,28,29.3,39.2,33.06,"R",,,,,,,,,,1419," ",,4,4,
"COMPACT CARS","DODGE","CALIBER AWD",2.4,4,"Auto(AV)",4,802,23,26,24,25.8,32.8,28.54,"R",,,,,,,,,,1658," ","VMODE CLKUP ",4,4,
"COMPACT CARS","FORD","FOCUS  FWD",2,4,"Auto(L4)","F",125,27,34,29,29.56,43.5,34.54,"R",,,,,,94,15,94,18,1371," ","CLKUP ",4,4,
"COMPACT CARS","FORD","FOCUS  FWD",2,4,"Manual(M5)","F",131,27,37,31,30.2,47,35.99,"R",,,,,,94,15,94,18,1284,"I4",,4,4,
"COMPACT CARS","FORD","FOCUS  FWD",2.3,4,"Manual(M5)","F",144,22,32,26,24.9,40.8,30.2,"R",,,,,,94,15,94,18,1530," ",,4,4,
"COMPACT CARS","HONDA","CIVIC HYBRID",1.3,4,"Auto(AV)","F",1,49,51,50,54.6,65,58.84,"R",,,,,,91,10,,,795,"HEV","EMS ",2,4,
"COMPACT CARS","HYUNDAI","ACCENT",1.6,4,"Auto(L4)","F",10,28,37,31,31.1,47.12,36.72,"R",,,,,,92,12,92,16,1284,"I4","CLKUP ",4,4,
"COMPACT CARS","HYUNDAI","ACCENT",1.6,4,"Manual(M5)","F",10,32,35,33,35.35,44.44,38.93,"R",,,,,,92,12,92,16,1204,"I4",,4,4,
"COMPACT CARS","JAGUAR","JAGUAR X-TYPE",3,6,"Auto(L5)",4,402,18,24,20,19.85,30.69,23.6,"P",,,,,,90,16,,,2138," ","EMS 2MODE CLKUP",4,4,
"COMPACT CARS","KIA","RIO",1.6,4,"Auto(L4)","F",9,29,38,32,32.2,48.82,38.02,"R",,,,,,92,12,92,16,1240," ","CLKUP ",4,4,
"COMPACT CARS","KIA","RIO",1.6,4,"Manual(M5)","F",9,32,35,33,35.38,44.62,39.01,"R",,,,,,92,12,92,16,1204," ",,4,4,
"COMPACT CARS","LEXUS","GS 450H",3.5,6,"Auto(S6)","R",11,25,28,26,27.9,35.35,30.82,"P",,,,,,98,8,,,1646,"HEV",,4,4,
"COMPACT CARS","MAZDA","MAZDA 3",2,4,"Manual(M5)","F",2,28,35,31,31.13,45.05,36.15,"R",,,,,,94,11,95,19,1284," ",,4,4,
"COMPACT CARS","MAZDA","MAZDA 3",2,4,"Auto(S4)","F",2,26,34,29,28.71,43.02,33.77,"R",,,,,,94,11,95,19,1371," ","DC/FW",4,4,
"COMPACT CARS","MAZDA","MAZDA 3",2.3,4,"Manual(M5)","F",3,26,33,28,28.4,41.7,33.16,"R",,,,,,94,11,95,19,1419," ",,4,4,
"COMPACT CARS","MAZDA","MAZDA 3",2.3,4,"Manual(M6)","F",4,20,28,23,22.1,35.69,26.67,"P",,"T",,,,94,11,95,19,1860,"MAZDA3 T/C",,4,4,
"COMPACT CARS","MAZDA","MAZDA 3",2.3,4,"Auto(S5)","F",3,25,31,27,27.72,40.21,32.23,"R",,,,,,94,11,95,19,1471," ","DC/FW",4,4,
"COMPACT CARS","MERCEDES-BENZ","C230",2.5,6,"Auto(L7)","R",14,14,18,16,16,24.2,18.88,"E",,,,,,89,12,,,2062,"E85 310","EMS 2MODE CLKUP",4,4,
"COMPACT CARS","MERCEDES-BENZ","C230",2.5,6,"Auto(L7)","R",13,19,25,21,21,32.2,24.9,"P",,,,,,89,12,,,2035,"GAS 410","EMS 2MODE CLKUP",4,4,
"COMPACT CARS","MERCEDES-BENZ","C230",2.5,6,"Manual(M6)","R",12,14,18,16,15.8,23.6,18.56,"E",,,,,,89,12,,,2062,"E85 300","EMS 2MODE CLKUP",4,4,
"COMPACT CARS","MERCEDES-BENZ","C230",2.5,6,"Manual(M6)","R",11,19,25,21,20.7,32.3,24.69,"P",,,,,,89,12,,,2035,"GAS 400","EMS 2MODE CLKUP",4,4,
"COMPACT CARS","MERCEDES-BENZ","C280",3,6,"Auto(L7)","R",21,22,28,24,23.9,36.4,28.27,"P",,,,,,89,12,,,1783," ","EMS 2MODE CLKUP",4,4,
"COMPACT CARS","MERCEDES-BENZ","C280 4MATIC",3,6,"Auto(L5)",4,22,19,26,22,21.6,33.6,25.74,"P",,,,,,89,12,,,1945," ","EMS 2MODE CLKUP",4,4,
"COMPACT CARS","MERCEDES-BENZ","C350",3.5,6,"Auto(L7)","R",34,20,29,23,22.4,37.1,27.26,"P",,,,,,89,12,,,1860," ","EMS 2MODE CLKUP",4,4,
"COMPACT CARS","MERCEDES-BENZ","C350",3.5,6,"Manual(M6)","R",34,20,28,23,21.9,35.7,26.51,"P",,,,,,89,12,,,1860," ","EMS ",4,4,
"COMPACT CARS","MERCEDES-BENZ","C350 4MATIC",3.5,6,"Auto(L5)",4,36,19,24,21,20.9,30.5,24.35,"P",,,,,,89,12,,,2035," ","EMS 2MODE CLKUP",4,4,
"COMPACT CARS","MERCEDES-BENZ","CL550",5.5,8,"Auto(L7)","R",42,15,22,18,17,28.6,20.8,"P","G",,,91,14,,,,,2377," ","EMS 2MODE CLKUP",4,4,
"COMPACT CARS","MERCEDES-BENZ","CL600",5.5,12,"Auto(L5)","R",50,13,19,15,14.2,24.2,17.44,"P","G","T",,91,14,,,,,2851," ","EMS 2MODE CLKUP",3,4,
"COMPACT CARS","MERCEDES-BENZ","CLS550",5.5,8,"Auto(L7)","R",38,15,22,18,16.8,28.1,20.51,"P","G",,,,,93,13,,,2377," ","EMS 2MODE CLKUP",4,4,
"COMPACT CARS","MERCEDES-BENZ","CLS63 AMG",6.2,8,"Auto(S7)","R",20,13,20,16,14.9,25,18.21,"P","G",,,,,93,13,,,2672," ","EMS 2MODE CLKUP",4,4,
"COMPACT CARS","MITSUBISHI","LANCER",2,4,"Auto(L4)","F",16,25,31,28,28,40.2,32.43,"R",,,,,,92,11,,,1419,"SOHC","CMODE CLKUP ",4,4,
"COMPACT CARS","MITSUBISHI","LANCER",2,4,"Manual(M5)","F",16,27,34,30,30,43.5,34.87,"R",,,,,,92,11,,,1324,"SOHC",,4,4,
"COMPACT CARS","PONTIAC","G6",2.4,4,"Auto(L4)","F",130,23,33,27,25.7,41.8,31.09,"R",,,,87,13,95,14,,,1471," ","CLKUP ",4,4,
"COMPACT CARS","PONTIAC","G6",3.5,6,"Auto(L4)","F",146,20,30,24,23.1,39.75,28.47,"R",,,,87,13,95,14,,,1658," ","CLKUP ",2,4,
"COMPACT CARS","PONTIAC","G6",3.5,6,"Auto(S4)","F",147,20,28,23,22.08,36.28,26.8,"R",,,,87,13,95,14,,,1729," ","2MODE CLKUP ",2,4,
"COMPACT CARS","PONTIAC","G6",3.6,6,"Auto(S6)","F",154,20,28,23,21.9,36.35,26.67,"R",,,,87,13,95,14,,,1729," ","2MODE CLKUP ",4,4,
"COMPACT CARS","PONTIAC","G6",3.9,6,"Manual(M6)","F",145,18,27,21,20.08,35.04,24.85,"R",,,,87,13,95,14,,,1892," ",,2,4,
"COMPACT CARS","PONTIAC","G6",3.9,6,"Auto(S4)","F",138,17,24,20,19,30.9,22.98,"R",,,,87,13,95,14,,,1988," ","2MODE CLKUP ",2,4,
"COMPACT CARS","SAAB","9-3 SPORT SEDAN",2,4,"Manual(M6)","F",156,22,30,25,24.2,39,29.18,"P",,"T",,,,90,15,,,1710," ",,4,4,
"COMPACT CARS","SAAB","9-3 SPORT SEDAN",2,4,"Auto(S5)","F",155,21,30,24,23.3,39,28.45,"P",,"T",,,,90,15,,,1783," ","CLKUP ",4,4,
"COMPACT CARS","SAAB","9-3 SPORT SEDAN",2.8,6,"Manual(M6)","F",160,18,28,21,19.8,36.1,24.85,"R",,"T",,,,90,15,,,1892," ",,4,4,
"COMPACT CARS","SAAB","9-3 SPORT SEDAN",2.8,6,"Auto(S6)","F",159,17,28,20,18.7,35.8,23.82,"R",,"T",,,,90,15,,,1988," ","3MODE CLKUP ",4,4,
"COMPACT CARS","SATURN","ION",2,4,"Manual(M5)","F",113,22,30,25,24.8,38.9,29.63,"P",,,"S",87,14,91,15,,,1710," ",,4,4,
"COMPACT CARS","SATURN","ION",2.2,4,"Auto(L4)","F",128,24,32,27,26.18,40.67,31.18,"R",,,,87,14,91,15,,,1471," ","CLKUP ",4,4,
"COMPACT CARS","SATURN","ION",2.2,4,"Manual(M5)","F",129,26,35,30,29.1,46.8,35.07,"R",,,,87,14,91,15,,,1324," ","SIL ",4,4,
"COMPACT CARS","SATURN","ION",2.4,4,"Auto(L4)","F",130,24,32,27,27.9,41.1,32.61,"P",,,,87,14,91,15,,,1582," ","CLKUP ",4,4,
"COMPACT CARS","SATURN","ION",2.4,4,"Manual(M5)","F",131,25,34,28,27.8,43.6,33.22,"P",,,,87,14,91,15,,,1526," ",,4,4,
"COMPACT CARS","SUBARU","LEGACY AWD",2.5,4,"Manual(M5)",4,22,20,27,23,22.47,34.76,26.72,"P",,"T",,,,93,11,,,1860," ",,4,4,
"COMPACT CARS","SUBARU","LEGACY AWD",2.5,4,"Manual(M5)",4,20,22,29,25,24.33,36.9,28.73,"R",,,,,,93,11,,,1590," ",,4,4,
"COMPACT CARS","SUBARU","LEGACY AWD",2.5,4,"Manual(M6)",4,22,19,26,22,21.3,33.8,25.55,"P",,"T",,,,93,11,,,1945," ",,4,4,
"COMPACT CARS","SUBARU","LEGACY AWD",2.5,4,"Auto(S4)",4,20,23,30,26,25.57,38.48,30.12,"R",,,,,,93,11,,,1530," ","2MODE CLKUP ",4,4,
"COMPACT CARS","SUBARU","LEGACY AWD",2.5,4,"Auto(S5)",4,22,19,25,22,21.66,32.44,25.47,"P",,"T",,,,93,11,,,1945," ","2MODE CLKUP ",4,4,
"COMPACT CARS","SUZUKI","AERIO",2.3,4,"Auto(L4)","F",42,25,31,27,27.84,39.5,32.1,"R",,,,,,90,15,91,13,1471," ","CLKUP ",4,4,
"COMPACT CARS","SUZUKI","AERIO",2.3,4,"Manual(M5)","F",41,25,31,27,27.8,39.69,32.13,"R",,,,,,90,15,91,13,1471," ",,4,4,
"COMPACT CARS","SUZUKI","AERIO AWD",2.3,4,"Auto(L4)",4,45,24,29,26,26.4,36.65,30.2,"R",,,,,,90,12,91,10,1530," ","CLKUP ",4,4,
"COMPACT CARS","SUZUKI","FORENZA",2,4,"Auto(A4)","F",3,22,31,25,23.9,39.2,28.99,"R",,,,,,95,12,,,1590," ","EMS ",4,4,
"COMPACT CARS","SUZUKI","FORENZA",2,4,"Manual(M5)","F",3,23,30,26,25.4,39.1,30.15,"R",,,,,,95,12,,,1530," ","EMS ",4,4,
"COMPACT CARS","SUZUKI","RENO",2,4,"Auto(A4)","F",3,22,31,25,23.9,39.2,28.99,"R",,,,,,,,95,9,1590," ","EMS ",4,4,
"COMPACT CARS","SUZUKI","RENO",2,4,"Manual(M5)","F",3,23,30,26,25.4,39.1,30.15,"R",,,,,,,,95,9,1530," ","EMS ",4,4,
"COMPACT CARS","TOYOTA","CAMRY SOLARA",2.4,4,"Manual(M5)","F",5,24,34,28,27,43.1,32.46,"R",,,,92,14,,,,,1419," ",,4,4,
"COMPACT CARS","TOYOTA","CAMRY SOLARA",2.4,4,"Auto(S5)","F",5,25,34,28,27.42,43.87,32.99,"R",,,,92,14,,,,,1419," ","CLKUP ",4,4,
"COMPACT CARS","TOYOTA","CAMRY SOLARA",3.3,6,"Auto(S5)","F",6,21,29,24,22.8,37.8,27.76,"R",,,,92,14,,,,,1658," ","CLKUP ",4,4,
"COMPACT CARS","TOYOTA","CAMRY SOLARA CONVERTIBLE",3.3,6,"Auto(S5)","F",6,20,29,23,22.4,36.8,27.19,"R",,,,89,12,,,,,1729," ","CLKUP ",4,4,
"COMPACT CARS","TOYOTA","COROLLA",1.8,4,"Auto(L4)","F",3,30,38,33,33.55,49.05,39.11,"R",,,,,,89,14,,,1204," ","CLKUP ",4,4,
"COMPACT CARS","TOYOTA","COROLLA",1.8,4,"Manual(M5)","F",3,32,41,36,35.75,52.55,41.76,"R",,,,,,89,14,,,1105," ",,4,4,
"COMPACT CARS","VOLKSWAGEN","GTI",2,4,"Manual(M6)","F",2,23,32,27,26.03,40.84,31.1,"P",,"T",,,,,,94,15,1582," ",,4,4,
"COMPACT CARS","VOLKSWAGEN","GTI",2,4,"Auto(S6)","F",4,25,32,28,28.23,40.4,32.65,"P",,"T",,,,,,94,15,1526," ","3MODE CLKUP ",4,4,
"COMPACT CARS","VOLKSWAGEN","JETTA",2,4,"Manual(M6)","F",2,23,32,27,26.03,40.84,31.1,"P",,"T",,,,91,16,,,1582," ",,4,4,
"COMPACT CARS","VOLKSWAGEN","JETTA",2,4,"Auto(S6)","F",4,25,32,28,28.23,40.4,32.65,"P",,"T",,,,91,16,,,1526," ","3MODE CLKUP ",4,4,
"COMPACT CARS","VOLKSWAGEN","JETTA",2.5,5,"Manual(M5)","F",9,22,30,25,24.28,38.64,29.15,"R",,,,,,91,16,,,1590," ",,4,4,
"COMPACT CARS","VOLKSWAGEN","JETTA",2.5,5,"Auto(S6)","F",9,22,30,25,24.09,38.83,29.05,"R",,,,,,91,16,,,1590," ","3MODE CLKUP ",4,4,
"COMPACT CARS","VOLKSWAGEN","RABBIT",2.5,5,"Manual(M5)","F",9,22,30,25,24.28,38.64,29.15,"R",,,,,,,,94,15,1590," ",,4,4,
"COMPACT CARS","VOLKSWAGEN","RABBIT",2.5,5,"Auto(S6)","F",9,22,30,25,24.09,38.83,29.05,"R",,,,,,,,94,15,1590," ","3MODE CLKUP ",4,4,
"COMPACT CARS","VOLVO","S40 AWD",2.5,5,"Manual(M6)",4,3,20,28,23,22.2,35.9,26.8,"P",,"T",,,,92,13,,,1860," ",,4,4,
