"Class","Manufacturer","carline name","displ","cyl","trans","drv","cty","hwy","cmb","ucty","uhwy","ucmb","fl","G","T","S","2pv","2lv","4pv","4lv","hpv","hlv","fcost","eng dscr","trans dscr","vpc","cls"
"COMPACT CARS","OLDSMOBILE","ALERO",3.4,6,"Auto(L4)","F",20,32,24,21.75,40.7,27.51,"R",,,,93,14,91,14,,,751,,"CLKUP",2,4
"COMPACT CARS","PLYMOUTH","NEON",2,4,"Auto(L3)","F",25,31,27,27.5,39.7,31.91,"R",,,,,,90,13,,,666,,,4,4
"COMPACT CARS","PLYMOUTH","NEON",2,4,"Manual(M5)","F",28,35,31,31.4,44.3,36.14,"R",,,,,,90,13,,,581,,,4,4
"COMPACT CARS","PONTIAC","GRAND AM",2.4,4,"Auto(L4)","F",22,30,25,24.5,39.1,29.45,"R",,,,92,14,90,13,,,720,,"CLKUP",2,4
"COMPACT CARS","PONTIAC","GRAND AM",2.4,4,"Manual(M5)","F",22,31,25,24.3,39.8,29.46,"R",,,,92,14,90,13,,,720,,"SIL",2,4
"COMPACT CARS","PONTIAC","GRAND AM",3.4,6,"Auto(L4)","F",20,32,24,21.75,40.7,27.51,"R",,,,92,14,90,13,,,751,,"CLKUP",2,4
"COMPACT CARS","SATURN","SL",1.9,4,"Auto(L4)","F",27,38,31,29.8,48.4,36.03,"R",,,,,,91,12,,,581,"SOHC","CLKUP",2,4
"COMPACT CARS","SATURN","SL",1.9,4,"Auto(L4)","F",25,36,29,27.89,45.84,33.86,"R",,,,,,91,12,,,621,"DOHC","CLKUP",2,4
"COMPACT CARS","SATURN","SL",1.9,4,"Manual(M5)","F",29,40,33,32.2,51.5,38.73,"R",,,,,,91,12,,,545,"SOHC","SIL",2,4
"COMPACT CARS","SATURN","SL",1.9,4,"Manual(M5)","F",27,38,31,29.9,48.4,36.11,"R",,,,,,91,12,,,581,"DOHC","SIL",2,4
"COMPACT CARS","SUBARU","LEGACY AWD",2.5,4,"Auto(L4)",4,22,27,24,24.1,34.46,27.87,"R",,,,,,91,12,,,751,,"CLKUP",4,4
"COMPACT CARS","SUBARU","LEGACY AWD",2.5,4,"Manual(M5)",4,21,28,24,23.77,35.5,27.92,"R",,,,,,91,12,,,751,,,4,4
"COMPACT CARS","TOYOTA","CAMRY CNG",2.2,4,"Auto(L4)","F",22,30,25,25,38.9,29.79,"C",,,,,,97,9,,,480,,"CLKUP",4,4
"COMPACT CARS","TOYOTA","CAMRY SOLARA",2.2,4,"Auto(L4)","F",23,30,26,25.27,39.1,30.06,"R",,,,92,14,,,,,693,,"CLKUP",4,4
"COMPACT CARS","TOYOTA","CAMRY SOLARA",2.2,4,"Manual(M5)","F",23,32,27,26,40.59,31.02,"R",,,,92,14,,,,,666,,,4,4
"COMPACT CARS","TOYOTA","CAMRY SOLARA",3,6,"Auto(L4)","F",19,27,22,21.64,34.69,26.05,"R",,,,92,14,,,,,819,,"CLKUP",4,4
"COMPACT CARS","TOYOTA","CAMRY SOLARA",3,6,"Manual(M5)","F",20,28,23,22.24,35.57,26.75,"R",,,,92,14,,,,,783,,,4,4
"COMPACT CARS","TOYOTA","COROLLA",1.8,4,"Auto(L3)","F",28,32,30,30.9,41.4,34.88,"R",,,,,,88,12,,,599,,"CLKUP",4,4
"COMPACT CARS","TOYOTA","COROLLA",1.8,4,"Auto(L4)","F",29,37,32,31.85,47.34,37.35,"R",,,,,,88,12,,,562,,"CLKUP",4,4
"COMPACT CARS","TOYOTA","COROLLA",1.8,4,"Manual(M5)","F",31,38,34,34.4,48.6,39.61,"R",,,,,,88,12,,,529,,,4,4
"COMPACT CARS","TOYOTA","ECHO",1.5,4,"Auto(L4)","F",31,38,34,34.1,48.74,39.43,"R",,,,88,14,88,14,,,529,,"CLKUP",4,4
"COMPACT CARS","TOYOTA","ECHO",1.5,4,"Manual(M5)","F",34,41,37,37.6,52.6,43.14,"R",,,,88,14,88,14,,,486,,,4,4
"COMPACT CARS","VOLKSWAGEN","GOLF",1.8,4,"Auto(L4)","F",22,28,24,24.42,35.7,28.47,"P",,"T",,,,,,88,18,844,,"CLKUP",5,4
"COMPACT CARS","VOLKSWAGEN","GOLF",1.8,4,"Manual(M5)","F",24,31,27,26.88,39.3,31.34,"P",,"T",,,,,,88,18,749,,,5,4
"COMPACT CARS","VOLKSWAGEN","GOLF",1.9,4,"Auto(L4)","F",34,45,38,37.85,57.44,44.72,"D",,"T",,,,,,88,18,454,,"CLKUP",2,4
"COMPACT CARS","VOLKSWAGEN","GOLF",1.9,4,"Manual(M5)","F",42,49,45,46.5,62.94,52.69,"D",,"T",,,,,,88,18,383,,,2,4
"COMPACT CARS","VOLKSWAGEN","GOLF",2,4,"Auto(L4)","F",22,28,24,24.5,35.67,28.52,"R",,,,,,,,88,18,751,,"CLKUP",2,4
"COMPACT CARS","VOLKSWAGEN","GOLF",2,4,"Manual(M5)","F",24,31,27,26.71,39.22,31.19,"R",,,,,,,,88,18,666,,,2,4
"COMPACT CARS","VOLKSWAGEN","GTI",1.8,4,"Auto(L4)","F",22,28,24,24.42,35.7,28.47,"P",,"T",,,,,,86,18,844,,"CLKUP",5,4
"COMPACT CARS","VOLKSWAGEN","GTI",1.8,4,"Manual(M5)","F",24,31,27,26.88,39.3,31.34,"P",,"T",,,,,,86,18,749,,,5,4
"COMPACT CARS","VOLKSWAGEN","GTI",2,4,"Auto(L4)","F",22,28,24,24.5,35.67,28.52,"R",,,,,,,,86,18,751,,"CLKUP",2,4
"COMPACT CARS","VOLKSWAGEN","GTI",2,4,"Manual(M5)","F",24,31,27,26.71,39.22,31.19,"R",,,,,,,,86,18,666,,,2,4
"COMPACT CARS","VOLKSWAGEN","GTI",2.8,6,"Manual(M5)","F",20,28,23,22.3,36.5,27.03,"R",,,,,,,,86,18,783,,,2,4
"COMPACT CARS","VOLKSWAGEN","JETTA",1.8,4,"Auto(L4)","F",22,28,24,24.42,35.7,28.47,"P",,"T",,,,87,13,,,844,,"CLKUP",5,4
"COMPACT CARS","VOLKSWAGEN","JETTA",1.8,4,"Manual(M5)","F",24,31,27,26.88,39.3,31.34,"P",,"T",,,,87,13,,,749,,,5,4
"COMPACT CARS","VOLKSWAGEN","JETTA",1.9,4,"Auto(L4)","F",34,45,38,37.85,57.44,44.72,"D",,"T",,,,87,13,,,454,,"CLKUP",2,4
"COMPACT CARS","VOLKSWAGEN","JETTA",1.9,4,"Manual(M5)","F",42,49,45,46.5,62.94,52.69,"D",,"T",,,,87,13,,,383,,,2,4
"COMPACT CARS","VOLKSWAGEN","JETTA",2,4,"Auto(L4)","F",22,28,24,24.5,35.67,28.52,"R",,,,,,87,13,,,751,,"CLKUP",2,4
"COMPACT CARS","VOLKSWAGEN","JETTA",2,4,"Manual(M5)","F",24,31,27,26.71,39.22,31.19,"R",,,,,,87,13,,,666,,,2,4
"COMPACT CARS","VOLKSWAGEN","JETTA",2.8,6,"Auto(L4)","F",19,26,21,20.7,32.8,24.82,"R",,,,,,87,13,,,857,,"CLKUP",2,4
"COMPACT CARS","VOLKSWAGEN","JETTA",2.8,6,"Manual(M5)","F",19,28,23,21.6,36,26.34,"R",,,,,,87,13,,,783,,,2,4
"COMPACT CARS","VOLVO","C70 COUPE",2.3,5,"Auto(L4)","F",19,27,22,21.15,34.95,25.72,"P",,"T",,91,13,,,,,921,,"CLKUP",4,4
"COMPACT CARS","VOLVO","C70 COUPE",2.3,5,"Manual(M5)","F",20,27,23,22.46,35.16,26.82,"P",,"T",,91,13,,,,,881,,,4,4
"COMPACT CARS","VOLVO","C70 COUPE",2.4,5,"Auto(L4)","F",19,27,22,21.55,34.06,25.81,"P",,"T",,91,13,,,,,921,,"CLKUP",4,4
"COMPACT CARS","VOLVO","S40",1.9,4,"Auto(L4)","F",21,28,24,23.6,36.2,27.98,"P",,"T",,,,88,13,,,844,,"2MODE CLKUP",4,4
"MIDSIZE CARS","ACURA","3.2TL",3.2,6,"Auto(L5)","F",19,29,23,21.36,37.22,26.43,"P",,,,,,96,14,,,881,,"2MODE",4,5
"MIDSIZE CARS","ACURA","3.5RL",3.5,6,"Auto(L4)","F",18,24,20,19.5,30.2,23.2,"P",,,,,,96,15,,,1012,,,4,5
"MIDSIZE CARS","AUDI","A6",2.8,6,"Auto(L5)","F",17,26,20,19.38,32.85,23.76,"P",,,,,,98,15,,,1012,,"CLKUP",5,5
"MIDSIZE CARS","AUDI","A6 QUATTRO",2.7,6,"Auto(L5)",4,17,24,20,19.12,30.37,22.94,"P",,"T",,,,98,15,,,1012,,"CLKUP",5,5
"MIDSIZE CARS","AUDI","A6 QUATTRO",2.7,6,"Manual(M6)",4,17,24,20,19.15,30.59,23.03,"P",,"T",,,,98,15,,,1012,,,5,5
"MIDSIZE CARS","AUDI","A6 QUATTRO",2.8,6,"Auto(L5)",4,17,24,20,19,30.56,22.89,"P",,,,,,98,15,,,1012,,"CLKUP",5,5
"MIDSIZE CARS","AUDI","A6 QUATTRO",2.8,6,"Manual(M5)",4,18,24,20,20.1,30.2,23.66,"P",,,,,,98,15,,,1012,,,5,5
"MIDSIZE CARS","AUDI","A6 QUATTRO",4.2,8,"Auto(L5)",4,17,24,19,18.82,30.4,22.72,"P",,,,,,98,15,,,1065,,"CLKUP",5,5
"MIDSIZE CARS","AUDI","A8 QUATTRO",4.2,8,"Auto(L5)",4,17,24,19,18.82,30.4,22.72,"P",,,,,,100,18,,,1065,,"CLKUP",5,5
"MIDSIZE CARS","BENTLEY","BENTLEY ARNAGE",4.4,8,"Auto(L5)","R",12,16,13,12.95,20.05,15.4,"P","G",,,,,106,12,,,1557,"GUZZLER","EMS 2MODE CLKUP",4,5
"MIDSIZE CARS","BENTLEY","BENTLEY ARNAGE",6.7,8,"Auto(L4)","R",11,16,13,12.38,20.04,14.95,"P","G",,,,,106,12,,,1557,"GUZZLER","EMS 2MODE CLKUP",2,5
"MIDSIZE CARS","BMW","740I, 740I SPORT",4.4,8,"Auto(L5)","R",17,23,19,18.9,30,22.68,"P",,,,,,100,13,,,1065,,,2,5
"MIDSIZE CARS","BMW","740I, 740I SPORT",4.4,8,"Auto(L5)","R",15,21,17,16.8,26.8,20.19,"P","G",,,,,100,13,,,1191,"GUZZLER","3MODE",2,5
"MIDSIZE CARS","BUICK","CENTURY",3.1,6,"Auto(L4)","F",20,30,24,22.39,38.1,27.49,"R",,,,,,102,17,,,751,,"CLKUP",2,5
"MIDSIZE CARS","BUICK","REGAL",3.8,6,"Auto(L4)","F",20,29,23,21.8,37.6,26.88,"R",,,,,,102,17,,,783,,"CLKUP",2,5
"MIDSIZE CARS","BUICK","REGAL",3.8,6,"Auto(L4)","F",18,27,21,19.5,35.07,24.37,"P",,,"S",,,102,17,,,964,,"CLKUP",2,5
"MIDSIZE CARS","CADILLAC","CATERA",3,6,"Auto(L4)","R",18,24,20,19.9,31.35,23.81,"P",,,,,,99,14,,,1012,,"CLKUP",4,5
"MIDSIZE CARS","CADILLAC","ELDORADO",4.6,8,"Auto(L4)","F",17,28,21,19.1,35.3,24.07,"P",,,,100,15,,,,,964,,"CLKUP",4,5
"MIDSIZE CARS","CADILLAC","SEVILLE",4.6,8,"Auto(L4)","F",17,28,21,19.1,35.3,24.07,"P",,,,,,104,15,,,964,,"CLKUP",4,5
"MIDSIZE CARS","CHEVROLET","LUMINA/MONTECARLO",3.1,6,"Auto(L4)","F",20,30,24,22.39,38.1,27.49,"R",,,,98,16,101,16,,,751,,"CLKUP",2,5
"MIDSIZE CARS","CHEVROLET","LUMINA/MONTECARLO",3.4,6,"Auto(L4)","F",20,32,24,21.75,40.7,27.51,"R",,,,98,16,101,16,,,751,,"CLKUP",2,5
"MIDSIZE CARS","CHEVROLET","LUMINA/MONTECARLO",3.8,6,"Auto(L4)","F",20,29,23,21.8,37.6,26.88,"R",,,,98,16,101,16,,,783,,"CLKUP",2,5
"MIDSIZE CARS","CHEVROLET","MALIBU",2.4,4,"Auto(L4)","F",22,30,25,24.5,39.1,29.45,"R",,,,,,99,16,,,720,,"CLKUP",2,5
"MIDSIZE CARS","CHEVROLET","MALIBU",3.1,6,"Auto(L4)","F",20,30,24,22.39,38.1,27.49,"R",,,,,,99,16,,,751,,"CLKUP",2,5
"MIDSIZE CARS","CHRYSLER","CIRRUS",2.4,4,"Auto(L4)","F",20,28,23,21.9,35.6,26.49,"R",,,,,,96,16,,,783,,"CLKUP",4,5
"MIDSIZE CARS","CHRYSLER","CIRRUS",2.5,6,"Auto(L4)","F",19,27,22,21.6,34.9,26.07,"R",,,,,,96,16,,,819,,"CLKUP",4,5
"MIDSIZE CARS","CHRYSLER","CIRRUS",2.5,6,"Auto(L4)","F",18,26,21,20.12,33,24.41,"R",,,,,,96,16,,,857,,"VMODE CLKUP",4,5
"MIDSIZE CARS","DAEWOO","LEGANZA",2.2,4,"Auto(A4)","F",20,28,23,22.1,35.7,26.67,"R",,,,,,100,14,,,783,"DOHC-IL4","EMS",4,5
"MIDSIZE CARS","DAEWOO","LEGANZA",2.2,4,"Manual(M5)","F",20,29,24,22.7,37.5,27.6,"R",,,,,,100,14,,,751,"DOHC-IL4",,4,5
"MIDSIZE CARS","DODGE","STRATUS",2,4,"Auto(L4)","F",21,29,24,23.7,37.2,28.33,"R",,,,,,96,16,,,751,,"CLKUP",4,5
"MIDSIZE CARS","DODGE","STRATUS",2.4,4,"Auto(L4)","F",20,28,23,21.9,35.6,26.49,"R",,,,,,96,16,,,783,,"CLKUP",4,5
"MIDSIZE CARS","DODGE","STRATUS",2.5,6,"Auto(L4)","F",19,27,22,21.6,34.9,26.07,"R",,,,,,96,16,,,819,,"CLKUP",4,5
"MIDSIZE CARS","DODGE","STRATUS",2.5,6,"Auto(L4)","F",18,26,21,20.12,33,24.41,"R",,,,,,96,16,,,857,,"VMODE CLKUP",4,5
"MIDSIZE CARS","HONDA","ACCORD",2.3,4,"Auto(L4)","F",23,30,26,25.19,38.8,29.91,"R",,,,93,14,102,14,,,693,"SOHC-VTEC",,4,5
"MIDSIZE CARS","HONDA","ACCORD",2.3,4,"Auto(L4)","F",22,29,24,24.2,36.8,28.61,"R",,,,93,14,102,14,,,751,,"CLKUP",4,5
"MIDSIZE CARS","HONDA","ACCORD",2.3,4,"Manual(M5)","F",25,31,27,27.53,40.31,32.11,"R",,,,93,14,102,14,,,666,"SOHC-VTEC",,4,5
"MIDSIZE CARS","HONDA","ACCORD",2.3,4,"Manual(M5)","F",23,30,26,26,38.2,30.36,"R",,,,93,14,102,14,,,693,,,4,5
"MIDSIZE CARS","HONDA","ACCORD",3,6,"Auto(L4)","F",20,28,23,22.69,35.27,27.03,"R",,,,93,14,102,14,,,783,"SOHC-VTEC",,4,5
"MIDSIZE CARS","HYUNDAI","SONATA",2.4,4,"Auto(L4)","F",21,28,23,22.79,35.94,27.29,"R",,,,,,100,13,,,783,,"2MODE CLKUP",4,5
"MIDSIZE CARS","HYUNDAI","SONATA",2.4,4,"Manual(M5)","F",21,29,24,23.85,37.53,28.53,"R",,,,,,100,13,,,751,,,4,5
"MIDSIZE CARS","HYUNDAI","SONATA",2.5,6,"Auto(L4)","F",20,27,23,22,35.2,26.47,"R",,,,,,100,13,,,783,,"2MODE CLKUP",4,5
"MIDSIZE CARS","HYUNDAI","SONATA",2.5,6,"Manual(M5)","F",20,28,23,22.7,36.5,27.35,"R",,,,,,100,13,,,783,,,4,5
"MIDSIZE CARS","INFINITI","I30",3,6,"Auto(L4)","F",20,28,23,21.9,35.4,26.44,"R",,,,,,102,15,,,783,,"2MODE CLKUP",4,5
"MIDSIZE CARS","INFINITI","Q45",4.1,8,"Auto(L4)","R",18,23,20,19.49,29.71,23.06,"P",,,,,,97,13,,,1012,,"2MODE CLKUP",4,5
"MIDSIZE CARS","JAGUAR","JAGUAR VANDEN PLAS",4,8,"Auto(L5)","R",17,24,19,18.75,30.8,22.76,"P",,,,,,102,13,,,1065,,"2MODE",4,5
"MIDSIZE CARS","JAGUAR","JAGUAR VANDEN PLAS S/C",4,8,"Auto(L5)","R",16,21,18,17.51,27.54,20.94,"P","G",,"S",,,102,13,,,1126,"GUZZLER","2MODE",4,5
"MIDSIZE CARS","JAGUAR","JAGUAR X200 V6",3,6,"Auto(L5)","R",18,26,21,19.74,32.9,24.07,"P",,,,,,99,12,,,964,,"2MODE",4,5
"MIDSIZE CARS","JAGUAR","JAGUAR X200 V8",4,8,"Auto(L5)","R",17,23,19,18.81,29.08,22.37,"P",,,,,,99,12,,,1065,,"EMS 2MODE",4,5
"MIDSIZE CARS","JAGUAR","JAGUAR XJ8L",4,8,"Auto(L5)","R",17,24,19,18.75,30.8,22.76,"P",,,,,,102,13,,,1065,,"2MODE",4,5
"MIDSIZE CARS","LEXUS","GS 300/GS 400",3,6,"Auto(L5)","R",19,24,21,21.11,31.31,24.73,"P",,,,,,100,15,,,964,,"CLKUP",4,5
"MIDSIZE CARS","LEXUS","GS 300/GS 400",4,8,"Auto(L5)","R",17,24,20,19.37,30.85,23.27,"P",,,,,,100,15,,,1012,,"CLKUP",4,5
"MIDSIZE CARS","LEXUS","LS 400",4,8,"Auto(L5)","R",18,25,21,20.45,31.72,24.34,"P",,,,,,102,14,,,964,,"CLKUP",4,5
"MIDSIZE CARS","LINCOLN-MERCURY","LS",3,6,"Auto(L5)","R",18,25,20,19.5,31.76,23.6,"P",,,,,,104,13,,,1012,,"CLKUP",4,5
"MIDSIZE CARS","LINCOLN-MERCURY","LS",3,6,"Auto(L5)","R",17,24,20,18.96,30.96,22.97,"P",,,,,,104,13,,,1012,"SELECT SFT","CLKUP",4,5
"MIDSIZE CARS","LINCOLN-MERCURY","LS",3,6,"Manual(M5)","R",17,25,20,18.8,31.5,22.97,"P",,,,,,104,13,,,1012,3,,4,5
"MIDSIZE CARS","LINCOLN-MERCURY","LS",3.9,8,"Auto(L5)","R",17,24,19,18.35,30.4,22.33,"P",,,,,,104,13,,,1065,"SELECT SFT","CLKUP",4,5
"MIDSIZE CARS","LINCOLN-MERCURY","LS",3.9,8,"Auto(L5)","R",17,23,19,18.58,30.07,22.44,"P",,,,,,104,13,,,1065,"3.9L4V-N","CLKUP",4,5
"MIDSIZE CARS","LINCOLN-MERCURY","SABLE",3,6,"Auto(L4)","F",20,28,23,21.7,35.8,26.37,"R",,,,,,102,16,,,783,"4V","CLKUP",4,5
"MIDSIZE CARS","LINCOLN-MERCURY","SABLE",3,6,"Auto(L4)","F",19,28,23,21.54,36.08,26.31,"R",,,,,,102,16,,,783,"3.0L 2V","CLKUP",2,5
"MIDSIZE CARS","MAZDA",626,2,4,"Auto(L4)","F",22,28,24,24.18,35.4,28.2,"R",,,,,,97,14,,,751,,"CLKUP",4,5
"MIDSIZE CARS","MAZDA",626,2,4,"Manual(M5)","F",26,32,29,29.08,41.28,33.54,"R",,,,,,97,14,,,621,,,4,5
"MIDSIZE CARS","MAZDA",626,2.5,6,"Auto(L4)","F",20,26,23,22.38,33.9,26.42,"P",,,,,,97,14,,,881,,"CLKUP",4,5
"MIDSIZE CARS","MAZDA",626,2.5,6,"Manual(M5)","F",21,27,23,23.53,34.4,27.43,"P",,,,,,97,14,,,881,,,4,5
"MIDSIZE CARS","MERCEDES-BENZ","E320",3.2,6,"Auto(L5)","R",21,30,24,22.93,37.86,27.88,"P",,,,,,95,15,,,844,,"EMS 2MODE CLKUP",3,5
"MIDSIZE CARS","MERCEDES-BENZ","E320 4MATIC",3.2,6,"Auto(L5)",4,20,28,23,22.47,35.28,26.86,"P",,,,,,95,15,,,881,,"EMS 2MODE CLKUP",3,5
"MIDSIZE CARS","MERCEDES-BENZ","E430",4.3,8,"Auto(L5)","R",18,24,20,20.1,31.1,23.9,"P",,,,,,95,15,,,1012,,"EMS 2MODE CLKUP",3,5
"MIDSIZE CARS","MERCEDES-BENZ","E430 4MATIC",4.3,8,"Auto(L5)",4,17,23,19,19.3,29.2,22.77,"P",,,,,,95,15,,,1065,,"EMS 2MODE CLKUP",3,5
"MIDSIZE CARS","MERCEDES-BENZ","E55 AMG",5.5,8,"Auto(L5)","R",16,23,19,18.3,29.3,22.02,"P","G",,,,,95,15,,,1065,"GUZZLER","EMS 2MODE CLKUP",3,5
"MIDSIZE CARS","MITSUBISHI","DIAMANTE SEDAN",3.5,6,"Auto(L4)","F",17,25,20,19.34,31.54,23.41,"P",,,,,,101,14,,,1012,"SOHC","CMODE CLKUP",4,5
"MIDSIZE CARS","MITSUBISHI","MITSUBISHI GALANT",2.4,4,"Auto(L4)","F",21,28,24,23.46,35.6,27.71,"R",,,,,,96,14,,,751,"SOHC","CMODE CLKUP",4,5
"MIDSIZE CARS","MITSUBISHI","MITSUBISHI GALANT",3,6,"Auto(L4)","F",20,27,22,21.94,34.2,26.16,"P",,,,,,96,14,,,921,"SOHC","CMODE CLKUP",4,5
"MIDSIZE CARS","NISSAN","MAXIMA",3,6,"Auto(L4)","F",20,28,23,22,35.55,26.56,"R",,,,,,102,15,,,783,,"2MODE CLKUP",4,5
"MIDSIZE CARS","NISSAN","MAXIMA",3,6,"Manual(M5)","F",21,27,24,23.8,35,27.8,"R",,,,,,102,15,,,751,,,4,5
"MIDSIZE CARS","OLDSMOBILE","INTRIGUE",3.5,6,"Auto(L4)","F",19,28,22,20.9,35.6,25.67,"R",,,,,,102,17,,,819,,"CLKUP",4,5
"MIDSIZE CARS","PLYMOUTH","BREEZE",2,4,"Auto(L4)","F",21,29,24,23.7,37.2,28.33,"R",,,,,,96,16,,,751,,"CLKUP",4,5
"MIDSIZE CARS","PLYMOUTH","BREEZE",2,4,"Manual(M5)","F",26,37,30,29.4,47.4,35.46,"R",,,,,,96,16,,,599,,,4,5
"MIDSIZE CARS","PLYMOUTH","BREEZE",2.4,4,"Auto(L4)","F",20,28,23,21.9,35.6,26.49,"R",,,,,,96,16,,,783,,"CLKUP",4,5
"MIDSIZE CARS","PONTIAC","GRAND PRIX",3.1,6,"Auto(L4)","F",20,30,24,22.39,38.1,27.49,"R",,,,98,16,99,16,,,751,,"CLKUP",2,5
"MIDSIZE CARS","PONTIAC","GRAND PRIX",3.8,6,"Auto(L4)","F",20,29,23,21.8,37.6,26.88,"R",,,,98,16,99,16,,,783,,"CLKUP",2,5
"MIDSIZE CARS","PONTIAC","GRAND PRIX",3.8,6,"Auto(L4)","F",18,28,21,19.59,35.34,24.51,"P",,,"S",98,16,99,16,,,964,,"CLKUP",2,5
"MIDSIZE CARS","SAAB","SAAB 9-3",2,4,"Auto(L4)","F",20,26,22,21.8,33,25.73,"P",,"T",,,,,,90,22,921,"B205R","2MODE CLKUP",4,5
"MIDSIZE CARS","SAAB","SAAB 9-3",2,4,"Auto(L4)","F",20,25,22,22,32.6,25.77,"R",,"T",,,,,,90,22,819,"B205L","2MODE CLKUP",4,5
"MIDSIZE CARS","SAAB","SAAB 9-3",2,4,"Manual(M5)","F",22,29,24,23.9,37.5,28.56,"R",,"T",,,,,,90,22,751,"B205L","SIL",4,5
"MIDSIZE CARS","SAAB","SAAB 9-3",2,4,"Manual(M5)","F",21,29,24,23.7,37.4,28.38,"P",,"T",,,,,,90,22,844,"B205R","SIL",4,5
"MIDSIZE CARS","SAAB","SAAB 9-3 VIGGEN",2.3,4,"Manual(M5)","F",20,29,24,22.6,37.4,27.5,"P",,"T",,,,,,90,22,844,"B235R",,4,5
"MIDSIZE CARS","SAAB","SAAB 9-5",2.3,4,"Auto(L4)","F",19,27,22,21.3,34.64,25.77,"R",,"T",,,,99,16,,,819,"B235E","2MODE CLKUP",4,5
"MIDSIZE CARS","SAAB","SAAB 9-5",2.3,4,"Auto(L4)","F",18,24,21,20.4,30.9,24.08,"P",,"T",,,,99,16,,,964,"B235R","2MODE CLKUP",4,5
"MIDSIZE CARS","SAAB","SAAB 9-5",2.3,4,"Manual(M5)","F",21,29,24,22.81,37.29,27.64,"R",,"T",,,,99,16,,,751,"B235E",,4,5
"MIDSIZE CARS","SAAB","SAAB 9-5",2.3,4,"Manual(M5)","F",20,28,23,22,35.4,26.52,"P",,"T",,,,99,16,,,881,"B235R",,4,5
"MIDSIZE CARS","SAAB","SAAB 9-5",3,6,"Auto(L4)","F",18,26,21,20.1,33.4,24.49,"P",,"T",,,,99,16,,,964,"B308E","2MODE",4,5
"MIDSIZE CARS","SATURN","LS",2.2,4,"Auto(L4)","F",23,32,26,25.3,40.85,30.53,"R",,,,,,97,18,,,693,,"CLKUP",2,5
"MIDSIZE CARS","SATURN","LS",2.2,4,"Manual(M5)","F",24,32,27,26.8,41.5,31.88,"R",,,,,,97,18,,,666,,"SIL",2,5
"MIDSIZE CARS","SATURN","LS",3,6,"Auto(L4)","F",20,26,22,22.2,33.6,26.2,"R",,,,,,97,18,,,819,,"CLKUP",4,5
"MIDSIZE CARS","TOYOTA","CAMRY",2.2,4,"Auto(L4)","F",23,30,26,25.27,39.1,30.06,"R",,,,,,97,14,,,693,,"CLKUP",4,5
"MIDSIZE CARS","TOYOTA","CAMRY",2.2,4,"Manual(M5)","F",23,32,27,26,40.59,31.02,"R",,,,,,97,14,,,666,,,4,5
"MIDSIZE CARS","TOYOTA","CAMRY",3,6,"Auto(L4)","F",19,27,22,21.64,34.69,26.05,"R",,,,,,97,14,,,819,,"CLKUP",4,5
"MIDSIZE CARS","TOYOTA","CAMRY",3,6,"Manual(M5)","F",20,28,23,22.24,35.57,26.75,"R",,,,,,97,14,,,783,,,4,5
"MIDSIZE CARS","VOLKSWAGEN","PASSAT",1.8,4,"Auto(L5)","F",20,29,23,22.34,37.75,27.36,"P",,"T",,,,95,15,,,881,,"CLKUP",5,5
"MIDSIZE CARS","VOLKSWAGEN","PASSAT",1.8,4,"Manual(M5)","F",24,31,27,26.57,40.07,31.32,"P",,"T",,,,95,15,,,749,,,5,5
"MIDSIZE CARS","VOLKSWAGEN","PASSAT",2.8,6,"Auto(L5)","F",18,26,21,19.94,33.49,24.38,"P",,,,,,95,15,,,964,,"CLKUP",5,5
"MIDSIZE CARS","VOLKSWAGEN","PASSAT",2.8,6,"Manual(M5)","F",20,29,23,22,36.8,26.86,"P",,,,,,95,15,,,881,,,5,5
"MIDSIZE CARS","VOLKSWAGEN","PASSAT 4MOTION",2.8,6,"Auto(L5)",4,17,24,20,19.06,30.35,22.89,"P",,,,,,95,15,,,1012,,"CLKUP",5,5
"MIDSIZE CARS","VOLVO","S70",2.3,5,"Auto(L4)","F",19,27,22,21.15,34.95,25.72,"P",,"T",,,,98,15,,,921,,"CLKUP",4,5
"MIDSIZE CARS","VOLVO","S70",2.3,5,"Manual(M5)","F",20,27,23,22.46,35.16,26.82,"P",,"T",,,,98,15,,,881,,,4,5
"MIDSIZE CARS","VOLVO","S70",2.4,5,"Auto(L4)","F",19,27,22,21.55,34.06,25.81,"P",,"T",,,,98,15,,,921,,"CLKUP",4,5
"MIDSIZE CARS","VOLVO","S70",2.4,5,"Auto(L5)","F",20,28,23,22.68,36.35,27.3,"P",,,,,,98,15,,,881,,"CLKUP",4,5
"MIDSIZE CARS","VOLVO","S70",2.4,5,"Manual(M5)","F",21,29,24,23.56,36.69,28.08,"P",,,,,,98,15,,,844,,,4,5
"MIDSIZE CARS","VOLVO","S70AWD",2.4,5,"Auto(L4)",4,18,25,21,20.44,31.52,24.28,"P",,"T",,,,98,15,,,964,,"CLKUP",4,5
"MIDSIZE CARS","VOLVO","S80",2.8,6,"Auto(L4)","F",17,25,20,19.39,32.01,23.57,"P",,"T",,,,99,15,,,1012,,"2MODE CLKUP",4,5
"MIDSIZE CARS","VOLVO","S80",2.9,6,"Auto(L4)","F",18,26,21,20.33,32.97,24.56,"P",,,,,,99,15,,,964,,"CLKUP",4,5
"LARGE CARS","AUDI","A8 L",4.2,8,"Auto(L5)",4,17,24,19,18.75,30.85,22.77,"P",,,,,,104,18,,,1065,,"CLKUP",5,6
