"CLASS","MFR","CAR LINE","DISPLACEMENT","NUMB CYL","TRANS","DRIVE SYS","INDEX NUMB","CITY MPG (GUIDE)","HWY MPG (GUIDE)","COMB MPG (GUIDE)","UNRND CITY (EPA)","UNRND HWY (EPA)","UNRND COMP (EPA)","FUEL TYPE","GUZLR","TURBO","SPCHGR","AVG 2D PASS VOL","AVG 2D LUGG VOL","AVG 4D PAS VOL","AVG 4D LUGG VOL","AVG HB PAS VOL","AVG HB LUGG VOL","ANL FL CST","ENG BLK TXT","TRANS DESC TXT","VLVS PER CYL","CLS","REL DT","5C CODE"
"S.U.V. - 4WD","KIA","BORREGO 4WD",3.8,6,"Auto(L5)",4,10,16,21,18,20.1,29.3,23.41,"R",,,,,,,,,,2335," ","2MODE CLKUP ",4,23,13-May-08,"DERIVED"
"S.U.V. - 4WD","KIA","SORENTO 4WD",3.3,6,"Auto(L5)",4,7,15,22,17,18.7,30,22.52,"R",,,,,,,,,,2470," ","2MODE CLKUP ",4,23,1-May-08,"DERIVED"
"S.U.V. - 4WD","KIA","SORENTO 4WD",3.8,6,"Auto(L5)",4,8,15,20,17,18.7,28.2,22.04,"R",,,,,,,,,,2470," ","2MODE CLKUP ",4,23,1-May-08,"DERIVED"
"S.U.V. - 4WD","KIA","SPORTAGE 4WD",2.7,6,"Auto(L4)",4,3,18,23,20,22.4,31.3,25.69,"R",,,,,,,,,,2100," ","2MODE CLKUP ",4,23,18-Mar-08,"DERIVED"
"S.U.V. - 4WD","KIA","SPORTAGE 4WD",2,4,"Manual(M5)",4,2,19,24,21,24.2,33.4,27.62,"R",,,,,,,,,,1999," ",,4,23,18-Mar-08,"DERIVED"
"S.U.V. - 4WD","LAND ROVER","LR2",3.2,6,"Auto(S6)",4,6,15,22,17,18.6,30.3,22.51,"R",,,,,,,,,,2470," ","6MODE CLKUP ",4,23,20-May-08,"DERIVED"
"S.U.V. - 4WD","LEXUS","RX 350 4WD",3.5,6,"Auto(L5)",4,25,17,22,19,21.1,30.9,24.61,"P",,,,,,,,,,2367," ","CLKUP ",4,23,28-Jan-08,"DERIVED"
"S.U.V. - 4WD","LEXUS","RX 350 4WD",3.5,6,"Auto(S5)",4,25,17,22,19,21.1,30.9,24.61,"P",,,,,,,,,,2367," ","CLKUP ",4,23,28-Jan-08,"DERIVED"
"S.U.V. - 4WD","MAZDA","CX-7 4WD",2.3,4,"Auto(S6)",4,2,16,22,18,20.5,30.3,23.99,"P",,"T",,,,,,,,2502," ","DC/FW",4,23,18-Apr-08,"DERIVED"
"S.U.V. - 4WD","NISSAN","ARMADA 4WD",5.6,8,"Auto(L5)",4,295,9,13,10,11.02,18.2,13.4,"E",,,,,,,,,,3900,"RNG280","CLKUP ",4,23,15-May-08,"DERIVED"
"S.U.V. - 4WD","NISSAN","ARMADA 4WD",5.6,8,"Auto(L5)",4,283,12,18,14,15.09,24.23,18.18,"R",,,,,,,,,,2999," ","CLKUP ",4,23,15-May-08,"DERIVED"
"S.U.V. - 4WD","NISSAN","ARMADA 4WD",5.6,8,"Auto(L5)",4,291,12,18,14,15.27,24.92,18.5,"R",,,,,,,,,,2999,"RNG390","CLKUP ",4,23,15-May-08,"DERIVED"
"S.U.V. - 4WD","NISSAN","MURANO AWD",3.5,6,"Auto(AV)",4,92,18,23,20,22.18,31.63,25.63,"P",,,,,,,,,,2250," ","VMODE CLKUP ",4,23,4-Jan-08,"DERIVED"
"S.U.V. - 4WD","PONTIAC","TORRENT AWD",3.4,6,"Auto(L5)",4,109,17,24,20,21.5,33.4,25.61,"R",,,,,,,,,,2100," ","CLKUP ",2,23,30-Apr-08,"DERIVED"
"S.U.V. - 4WD","SUBARU","FORESTER AWD",2.5,4,"Auto(S4)",4,22,19,24,21,23.8,32.8,27.15,"P",,"T",,,,,,,,2142," ","2MODE CLKUP ",4,23,25-Apr-08,"DERIVED"
"S.U.V. - 4WD","SUBARU","FORESTER AWD",2.5,4,"Manual(M5)",4,20,20,26,22,24.82,36.8,29.08,"R",,,,,,,,,,1911," ",,4,23,25-Apr-08,"DERIVED"
"S.U.V. - 4WD","SUBARU","FORESTER AWD",2.5,4,"Auto(S4)",4,20,20,26,22,25.01,36.5,29.14,"R",,,,,,,,,,1911," ","2MODE CLKUP ",4,23,25-Apr-08,"DERIVED"
"S.U.V. - 4WD","SUBARU","OUTBACK WAGON AWD",2.5,4,"Manual(M5)",4,22,18,24,20,22.3,33.5,26.25,"P",,"T",,,,,,,,2250," ",,4,23,25-Apr-08,"DERIVED"
"S.U.V. - 4WD","SUBARU","OUTBACK WAGON AWD",2.5,4,"Auto(S5)",4,22,18,24,20,22.14,33.24,26.06,"P",,"T",,,,,,,,2250," ","2MODE CLKUP ",4,23,25-Apr-08,"DERIVED"
"S.U.V. - 4WD","SUBARU","OUTBACK WAGON AWD",3,6,"Auto(S5)",4,30,17,24,20,21.62,33.57,25.75,"P",,,,,,,,,,2250," ","2MODE CLKUP ",4,23,25-Apr-08,"DERIVED"
"S.U.V. - 4WD","SUBARU","OUTBACK WAGON AWD",2.5,4,"Manual(M5)",4,20,20,26,22,24.82,36.8,29.08,"R",,,,,,,,,,1911," ",,4,23,25-Apr-08,"DERIVED"
"S.U.V. - 4WD","SUBARU","OUTBACK WAGON AWD",2.5,4,"Auto(S4)",4,20,20,26,22,25.01,36.5,29.14,"R",,,,,,,,,,1911," ","2MODE CLKUP ",4,23,25-Apr-08,"DERIVED"
"S.U.V. - 4WD","SUBARU","TRIBECA AWD",3.6,6,"Auto(S5)",4,40,16,21,18,19.8,29.4,23.21,"R",,,,,,,,,,2335," ","2MODE CLKUP ",4,23,7-Apr-08,"DERIVED"
"S.U.V. - 4WD","VOLKSWAGEN","TIGUAN 4MOTION",2,4,"Auto(S6)",4,1,18,24,20,22.45,33.3,26.31,"P",,"T",,,,,,,,2250," ","3MODE CLKUP ",4,23,15-Feb-08,"DERIVED"
"S.U.V. - 4WD","VOLKSWAGEN","TOUAREG",4.2,8,"Auto(S6)",4,14,13,18,15,15.7,25.1,18.88,"P",,,,,,,,,,3002," ","3MODE CLKUP ",4,23,6-May-08,"DERIVED"
"S.U.V. - 2WD","DODGE","JOURNEY 2WD",2.4,4,"Auto(L4)","F",4,19,25,21,23.3,34.6,27.31,"R",,,,,,,,,,1999," ",,4,22,9-May-08,"DERIVED"
"S.U.V. - 4WD","DODGE","JOURNEY 4WD",3.5,6,"Auto(L6)",4,3,15,21,17,18.4,29.8,22.23,"R",,,,,,,,,,2470," ","CMODE ",4,23,15-May-08,"DERIVED"
"S.U.V. - 2WD","DODGE","JOURNEY 2WD",3.5,6,"Auto(L6)","F",1,16,23,18,19.3,32.2,23.54,"R",,,,,,,,,,2335," ",,4,22,14-May-08,"DERIVED"
